stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,pgc,slow_muscle,somites,spinal_cord,vasculature
  5-6,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,0,0,42.27,0,0.86,0
 24-34,0,0,0,0,0,0,0,0,0.98,0,0,0,0.76,0,0,3.54,0.79,0,5.07,0,1.14,0
 36-46,0,0,2.92,0.59,0,0,0,0,1.26,0,0,0,7.61,0,9.59,35.94,0,0.81,0.79,0.69,0,0
 48-58,0,0.4,0,8.3,0.58,0,6.87,0,0.89,0,0,0,33.11,0,6.22,65.58,0,0,0,0,0.56,0
 60-70,0,0,1.83,9.34,1.74,1.31,1.22,0,0,0,0,0,26.79,1.28,0,124.85,0,0,0,0,11.29,0
 72-82,0,0,6.83,8.86,0,0,4.5,0,0,0,2.72,0,32.9,0,0,138.24,0,0,0,0,3.95,0
 84-94,0,4.72,0,15.55,0,0,4.75,0,0,0,0.62,0,25.74,0,0.78,124.77,0,0,0,0,2.7,0
 96-106,0,3.72,0,1.9,2.05,0,1.64,1.11,0.71,0,2.34,0,22.38,0,0,98.83,0,0,0,0,2.33,0.67
108-118,0,0.44,0.85,7.6,1.93,0,13.42,0,0,0,2.21,0.43,10.15,0,0,72.36,1.48,0,0,0,4.34,0
120,0,2.66,0,4.75,0,0,6.84,0,0,3.54,4.78,0,14.94,0,0,102.21,0,0,0,0,12.69,0
