stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,247.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,57.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0
  7-9,0,7.54,0,0,0,0,0,0,0,15.96,0,0,0,0,0,0,0,0,62.67,0,0,0,3.78,6.01,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.27,0,0,0,0,0,0,0,0,91.2,0,0,0,0,7.35,5.95,0,0,0,0,0
 14-21,0,0,3.77,0,0,0,0,0,0,6.51,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,11.84,0,0,0,0,0,0,17.72,3.03,0,2.88,0.88,0,5.07,8.36,0,7.66,0.74,0.73,2.1,0,4.18,0,0,1.45,0,0,0
 36-46,0,0,1.85,2.58,0,1.53,0,0,0,1.96,0,0.98,0,0.72,0,3.58,1.81,2.96,18.91,0,0,0,0,4.26,0,0,0.61,0,0,0
 48-58,0,0,0.53,6.14,0,0.39,0,1.82,0,1.23,0,0,4.72,0,0,3.43,3.03,1.34,24.4,0,0,0.92,0,2.29,0,0,3.17,0,0,0
 60-70,0,0,0,8.62,0.6,5.27,0,0,0,0.97,0,0,0,0.73,0,4.7,3.17,1.62,11.12,0,0,1.01,0,3.66,0,0,6.53,0,2.38,0
 72-82,0,0,0.52,13.66,0,0,0,0.71,0,1.18,0,1.21,0,1.06,0.62,1.65,16.3,0,3.34,0,0,0.57,0,0.95,0,2.68,0,3.12,0,0
 84-94,0,0,6.75,1.7,0.75,5.2,0,0.59,1.03,0.76,0,4.73,0,1.52,0,1.42,15.53,0.56,10.89,0,0,1.09,0,5.92,0,0,0,2.7,0,0
 96-106,0,0,3.83,1.59,0,3.32,0,0,0,1.06,0,5,0,0,0.59,3.5,10.35,2.04,14.23,0,0,0,0,1.67,0,0,0,0,0,0
108-118,0,0,6.02,0,0.78,2.58,5.04,0,1.75,0,0,5.4,2.98,0.7,0.7,1.51,2.19,0.47,11.73,0,0,0,0,6.31,0,0,0,0.42,0,1.02
120,0,0,11.38,1.75,0,7.75,0,0,0,0,0,1.33,1.36,0,0,14.05,1.46,3.71,10.84,0,1.26,1.76,0,5.77,0,0,0,1.84,0,0
