stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,18.51,673.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.12,0,0,0,0,0,0
  5-6,68.72,433.75,0,0,0,0,0,0,0,18.67,0,0,9.62,0,0,0,8.94,6.57,0,0,0,0,0,0
  7-9,7.37,7.13,0,4.55,0,17.77,0,0,0,0,0,0,64.37,9.6,0,0,52.25,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,41.36,0,0,0,14.18,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,2.67,0,0,2.77,0,0
 24-34,0,0,0,0,0,2.71,0,0,0,0,1.07,0,50.86,0,0,0,0,0,0,0,1.4,18.33,0,0
 36-46,0,0,0,0,2.38,1.37,1.18,1.49,0,0,0.62,0,85.31,0,0.92,0,0,0,0,0,7.33,17,0,0
 48-58,0,0,0,0,0,10.69,0,4.19,3.21,0,0.38,0,108.32,0,0.63,0,0,2.41,0,0,1.2,16.9,0,5.39
 60-70,0,0,0.57,0,0,5.6,0,0.63,0,0,0.91,0,188.73,0,1.51,0,0,2.13,0,0,0,40.61,0,0
 72-82,0,0,1.62,0,0,28.83,0.55,3.59,0,0,0,0,160.57,0,0,0.57,0,0,0,1.77,0.55,38.55,0,0
 84-94,0,0,0,0,0.69,34.81,0,2.34,0,0,0,0,126.12,0,3.11,0,0,0.66,0,0,0,19.59,0.96,0
 96-106,0,0,0,0,1.22,39.28,0,4.66,0,0,0,0,65.67,0,0,0,0,0,0,0.68,0,4.62,0,0
108-118,0,0,0.57,0,0,40.69,0.58,2.93,0.75,0,5.89,0,103.9,0,0,0,0,0,0,0,0.92,1.87,1.49,0
120,0,0,4.41,0,4.48,8.68,0,17.42,0,0,8.75,1.11,294.13,0,0,0,0,0,0,0,0,9.21,0,0
