stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,hatching_gland,liver,mesenchyme,muscle,neural,periderm,slow_muscle,taste
  5-6,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0
 10-12,0,5.52,0,0,0,0,0,0,0,0,7.05,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0
 48-58,0,0,0,0,0,0.42,0,0,0,0,0,0,0.79,0
 60-70,0,0,0,0,0,0.68,0,0,0,3.55,0,0,0.62,0
 72-82,0,0,0,0,0,4.25,0,0,0,0,0.9,0,0,0
 84-94,0,0,1.36,0,3.83,31.37,0,5.87,0,0,0.62,1.18,0,0
 96-106,0,0,0,1.71,0,70.24,0,0,3.76,0,0,1.49,0,1.44
108-118,0,0,7.1,0,5.41,20.59,0,0,5.42,0,8.78,0,0.44,0
120,0,0,0,0,1.29,21.11,0,0,0,0,0,0,0,0
