stage,blastomeres,epidermis,eye,glial,liver,mesenchyme,muscle,neural,otic,spinal_cord
  3-4,26.95,0,0,0,0,0,0,0,0,0
  5-6,20.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.02,0,0,0,0,0
 24-34,0,0,1.29,0,1.42,0,0.66,0,0,0
 36-46,0,0,6.1,0,0,0,0,3.76,0,0.66
 48-58,0,0,20.21,0,0,0,0,3.52,0,1.41
 60-70,0,0,117.12,0,0,0,0,20.83,0,1.99
 72-82,0,0,49.22,0.5,0,0,0,22.03,0.97,5.66
 84-94,0,0.68,50.86,0,0,0,0.87,31.11,0,1.56
 96-106,0,0,30.45,0,0,1.5,0,8.04,0,1.19
108-118,0,0,37.46,1.33,0,0,0,28.3,0,2.82
120,0,0,22.92,8.94,0,0,0,20.46,0,1.19
