stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,25.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,12.93,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.45,0,0,0,0,0,0,16.95,0,3.25,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0
 24-34,0,0,0.69,0,0,0,0,0,0,0,0.61,5.28,0,0,0,6.67,0,0,0,0
 36-46,0,0,0,0,0.58,0,0.56,0,0,0,2.02,30.38,0,0,0,3.9,0,0,0,0
 48-58,0,0,0,0,4.21,0,0,0,0,1.71,1.35,26.11,0,0,4.18,1.48,0,0,0,0
 60-70,0,0,1.03,0,30.34,0.63,0,0,0,5.49,0,33.35,0,0,1.95,6.54,0,0.85,0,0
 72-82,0,0,0.57,0.5,39.78,0,0,0,0,1.49,0,21.59,3.29,0,0.57,3.21,0,0,0,0
 84-94,0,0,0.57,0,18.71,0,0,0,0,1.24,0,14.43,0,0,0,3.01,0,0,0,0
 96-106,0,0,0,0,6.66,0,0,0.94,0,1.65,0,8.94,0,0,0,0,0,0,0.68,1.41
108-118,0,0,0,0,4.16,0,0,0,0.73,1.59,0,10.15,0,0,0,0,1.91,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0
