stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.09,16.71,670.42,15.18,0,1652.84,0,9.74,0,1162.56,11.69,17.33,0,7.61,5.95,0,8.77,4.54,14.06,90.34,0,0,17.26,55692.52,67.77,153.38,210.87,417.91,0,26.17,0,37.91,8.94,15.44,146.7,17633.34,0,0,16.48,0,0
 24-34,0,3.03,186.56,10.95,0,2726.62,8.76,15.46,5.54,2607.57,6.44,9.14,7,10.09,8.04,5.18,25.09,3.7,9.95,138.2,0.63,0.81,108.99,88358.1,19.01,240.83,254.92,0,0,83.6,0,0.93,11.16,17.67,33.49,24271.47,0,0,97.59,0,11.16
 36-46,0,0,63.15,4.98,0,7359.73,3.24,1.5,1.23,3501.12,4.16,0,1.87,0.89,3.08,20.38,12.38,14.05,25.47,147.44,0.68,0,36.37,75926.21,15.68,77.34,82.25,0,0,103.69,0,0,18.22,4.71,3.8,16627.39,0,0.85,26.35,0,34.12
 48-58,0,0,134.71,6.3,0,7673.37,6.3,17.55,2.41,5726.33,0,0,11.62,12.05,3.64,45.73,10.09,5.57,23.93,164.44,0.59,13.36,44.87,46651.94,16.21,25.96,25.2,0,0,25.83,1.96,0,0.65,9.06,0,10853.54,0,0.85,21.02,0,79.04
 60-70,0,0,33.23,0.79,0,2481.56,1.2,0,2.79,4070,0,0,0,14.29,19.09,2.88,7.99,13.31,8.48,78.82,2.44,9.25,38.49,15448.65,0,9.15,22.59,0,0,28.04,0,0,4.88,1.5,0,4489.65,1.22,0,9.6,0,63.16
 72-82,0,0,50.37,4.86,1.16,1066.11,1.18,0,0.55,1466.61,0,0,0,0.65,0,0,4.13,3.3,0,70.96,0,6.94,7.94,8704.89,0,4.23,22.97,0,0.77,15.98,0,0,0,0.64,0,1021.87,0.62,0,1.79,0,7.79
 84-94,1.62,0,95.41,11.66,0,1427.66,6.42,4.48,0,1395.12,11.32,0,0,6,1.74,9.59,0.65,2.46,0,72.54,2.8,7.85,9.27,9581.73,9.58,2.91,8.09,0,0,22,0,0,0.7,0,0,1067.41,3.25,2.5,4.56,0.77,2.43
 96-106,0,0,158.63,2.39,3.06,1158.65,5.65,5.68,1.69,1546.01,2.99,0,1.39,7.06,0.66,0,4.27,23.86,6.77,97.95,1.87,3.41,21.33,7516.92,0.8,9.23,30.91,0,2.63,29.45,0,0,5.18,0.6,0,312.4,7.17,1.15,3.63,5.35,0
108-118,0,0,128.82,3.29,0,852.48,1.82,0,1.82,1606.93,5.95,0,0,4.12,4.83,2.67,3.87,12.27,1.21,62.76,2.81,5.73,9.39,13875.57,2.99,47.46,3.6,0,0,2.72,0,0,1.1,0.86,0,120.46,1.4,0,10.76,3.4,2.73
120,0,0,202.02,16.34,3.92,1167.12,0,20.3,2.45,1912.98,10.05,0,0,0,0,1.74,0,5.48,0,59.4,0,9.3,9.24,9878.13,0,52.7,48.2,0,0,9.08,0,0,5.42,0,0,50.97,0,0,5.13,2.27,9.75
