stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,5.45,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,4.58,13.32,0,0,9.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,56.74,0,0,0,0,5.96,0,0,0,0,0,0
 14-21,0,9.06,1.68,0,0,0,0,0,4.85,0,0,4.35,0,0,0,0,2.32,0,6.61,26.2,0,0,0,0,0,3.65,1.14,5.52,14.23,28.12,0,0,0.89,0,0
 24-34,0,12.94,1.97,0,0,1.59,10.96,0.61,4.43,0,0,2.16,0,0,0,0,3.53,0,7.73,212.34,0,5.65,0,0,1.01,0,5.1,13.04,7.6,36.42,0,0,6.35,0,0.91
 36-46,0,5.03,0,0.57,0,17.79,14.96,1.23,1.91,0,0,0.68,0,0,0,0,3.39,0,12.49,485.28,0,22.15,0,0,0.79,0,4.27,23.98,2.66,79.57,0,0,0,0,0
 48-58,0,1.66,4.7,0,0,96.24,21.12,1.76,10.98,0,0,0.38,0,0.63,0,0,6.16,0,8.07,737.9,0,17.01,0,0,1.76,0,1.57,13,0,114.96,0,0,0,0,6.77
 60-70,0,1.4,2.88,0,0,616.94,8.29,2.48,8.57,0.63,0,0,0,0,0.84,0,9.82,0,3.37,836.78,1.73,10.03,1.23,0,4.6,0,0.95,5.12,0,132.91,0.81,0,0,0,0
 72-82,0,7.09,4.95,0,0,754.31,2.59,0.49,8.36,2.68,0,0,0,0.57,0,0,6.29,1.07,3.49,742.19,0,19.86,0.54,0,0,0,0.64,1.81,0,78.77,0,0,0,0.54,0
 84-94,0,12.04,1.94,0,0,557.81,3.69,0,11.3,4.37,0,0,2.65,0,0,0.59,4.35,0,6.62,552.58,0,24.87,1.32,0,6.8,0,8.16,1.22,0,33.92,0,0,0,2.38,0
 96-106,0,6.53,4.43,1.19,0,622.94,4.77,0,16.5,2.97,0,0,0,0,1.31,0,9.67,0,11.34,332.83,0,13.25,0,0,2.71,0,0.61,0,0,10.73,0,0,0,2.91,0
108-118,0,2.7,2.21,1.46,1.46,449.76,1.97,0,18.08,7.95,0,0,0,0,0,2.33,8.26,0,12.61,357.27,0,1.55,0,0,0,0,4.82,1.4,0,9.39,0,2.74,2.23,1.06,1.42
120,0,10.58,0,0,2.35,325.21,17.69,0,29.07,17.44,0,0,0,0,3.84,0,6.17,0,10.8,619.06,0,1.09,0,0,0,0,7.82,0,0,20.37,0,0,0,3.68,0
