stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,spinal_cord,vasculature
  3-4,0,36.53,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.1,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.73,0,10.6,0,26.77,0,4.97,0,0,106.32,9.92,48.25,0,0
 10-12,0,0,0,0,0,0,6.69,0,0,101.23,27.14,27.56,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.79,1.13
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0
 60-70,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0
