stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,7.46,0,1.07,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,3.95,0,0.68,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,2.58,0,0,0,0,4.8,0,0,0,2.83,0,0,0,0,0
 36-46,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,16.77,0,0,0,0,2.13,0,0,0,3.9,0,0,0,0,0
 48-58,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,0,0.56,0,0,0,37.31,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.9,0,0.74,11,0,0,0,0.92,0.9,0,0,0,0,0,19.67,0,0.58,0,0,0,47.98,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0
 72-82,0,2.02,0,0.86,4.86,20.8,10.91,0,0,0,4.39,2.56,0,0,0,0,0,287.08,0,1.63,0,1.23,0,30.84,0,0,0,0,2.79,0,0,0,1.56,0,0,1.7,0,0
 84-94,0,0,0,0,0,49.42,20.42,0,0,0,0.62,2.14,0,0,0.56,0,0,570.37,0,4.84,0,0,0,37.05,0,0,1.52,0,1.21,0,0,0,0,0,0,0,0,0
 96-106,0,12.57,0,17.28,47.45,205.52,166.1,1,2.83,2.46,40.45,306.79,3.51,12.74,4.41,12.42,0.79,4120.26,0,85.66,6.49,11.79,13.11,510.82,0.85,6.73,5.73,3.18,37.21,1.35,3.53,1.48,8.93,9.07,0,17.15,7.71,14.05
108-118,0,12.66,0.63,10.6,6.47,657.53,141.97,1.51,3.48,6.97,25.58,857.56,1.44,9.86,0,7.45,0.64,9616.45,5.39,59.24,0,1.72,4.78,554.16,0.68,0,8.89,0,54.78,0,5.53,0,6.49,0.52,1.96,10.48,0,9.16
120,2.37,29.15,0,18.74,2.01,163.64,70.86,0,15.16,1.44,49.56,777.77,0,10.91,2.56,6.05,0,5986.88,0,81.41,0,0,15.76,397.25,0,10.18,0,0,19.11,0,0,0,1.91,0,0,0,0,0
