stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,56.43,613.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.96,0,0,0,0,0,0,0,0,0,0
  5-6,69.52,811.88,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,70.04,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0
  7-9,23.48,29.95,0,33.17,0,0,67.65,0,0,0,0,0,14.32,0,0,0,0,0,0,0,0,0,0,501.83,11.2,0,0,174.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.66,0,46.63,0,0,55.55,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,430.47,21.05,0,0,153.3,0,3.81,14.56,0,33.78,6.54,0,0,0,0,0,0
 14-21,0,0,0,0.85,10.74,3.26,7.54,0,1.16,0,1.81,0,0,0,0,0,0,0,0,15.54,0,0,8.22,104.29,7.43,0,2.55,2.31,0,0,0,5.16,0,8.94,40.99,0,0,1.76,0,0
 24-34,0,0,0,0,3.65,0,19.13,0,0.73,0,5.3,0.67,0,0,4.11,1.39,0.83,0.6,0,14.56,0,0,5.83,133.99,0.7,4.11,7.61,0,0,5.43,0,0,1.58,0,33.51,0,0,4.55,0,0
 36-46,0,0,0,0,2.47,0.81,19.91,0,0,0,5.09,0,0,0,0,0,0,0,0,11.97,0,0.67,3.74,179.62,1.87,0,1.81,0,0,1.54,0,0,0,0,25.86,0,0,9.91,0,0
 48-58,0,0,0,0,1.36,0,46.18,0,0,1.23,10.49,0.61,0,0,0,0,0,0.5,0,24.23,0,0.99,4.12,192.44,0,1.22,0,0,0,3.87,0,0,0,0,47.6,0,0,5.36,0,0
 60-70,0,0,0,0,1.17,0,51.42,0,0,0,6.58,0,0,0,4.86,0,0,0.8,0,29.77,0,0,1.72,134.29,1.71,0,2.15,0,0.71,0,0,0,0,0,22.9,0,0,0,0,0
 72-82,0,0,0,0,1.97,1.45,62.62,0,0,0,8.76,0,0,0.5,0,0.58,0.59,0.64,0,35.96,0,0.63,4.47,187.01,0,3.73,2.83,0,0,1.3,0,0,0,0,16.1,0,0,2.22,0,6.15
 84-94,0,0,0.56,0,2.87,4.11,39.06,4.52,0.97,0.64,15.91,0.68,0,0,0,1.03,0,0,0.83,29.32,0,0,1.71,126.88,0.57,0,0,0,0,6.33,0,0,0,0,13.35,0,0,4.93,0,0
 96-106,0,0,0,0,2.38,10.14,59.76,0,2.37,0,11.32,0,0,0.78,0.8,0,1.14,0.58,0,32.7,0.7,1.41,4.42,96.91,0,1.48,3.04,0,0,12.16,0,0,0,0,22.18,1.68,0,0.87,1.15,0
108-118,0,0,0,0,3.78,0,29.7,0,0,2.97,12.64,2.16,0,0,2.26,0,0.78,0.87,1.6,30.25,0,3.52,2.24,157.45,1.01,0.44,0.49,0,0,4.93,0,0,0,0,0,0,0.96,4.59,0,0
120,0,0,0,1.28,13.03,1.95,6.41,0,1.28,2.94,16.99,9.69,0,0,0,0,0,0,0,41.37,0,0,3.62,226.69,0,0,7.78,0,0,2.45,0,0,0,0,4.39,0,0,0,0,0
