stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,63.29,1247.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.42,516.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.49,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.79,0,40.77,0,0,0,186.49,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,717.3,19.22,0,0,276.45,0,0,13.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.69,102.19,0,11.27,0,167.34,0,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,1438.04,5.93,0,0,577.49,0,5.07,32.24,0,66.17,0,17.68,0,0,0,0,0,0
 14-21,0,0,2.76,57,12.22,0,26.91,0,0,11.06,0,0,0,0,2.06,0,0,0,0,20.91,0,0,31.45,374.49,3.28,0,1.27,8.75,0,5.21,0,41.14,1.28,0,39.47,98.66,0,0,0.85,0,0
 24-34,0,0,1.54,17.47,0,0,66.46,0.71,0,6.69,0,0,0.62,0.71,0,0.6,0.75,1.13,1.41,72.01,0,0,10.14,657.46,0,6.91,4.26,0,0,27.02,0,0,0,0,6.09,128.73,0,0,5.96,0,0.93
 36-46,0,0,0,5.71,2.17,0,96.89,0.62,3,11.95,0,0,0.93,0,5.33,0,0,0,9.02,38.76,0,0.57,5.98,498.81,0.63,4.29,0,0,0,12.31,0,0,0,0,0,84.31,0,0,6.83,0,16.32
 48-58,0,0,0,11.07,3.17,0,171.19,2.75,1.28,25.43,0,0,1.12,2.66,4.54,0.5,0.51,0,0,45.81,0,4.02,6.17,246.78,0,0.77,2.14,0,0,7.27,0,0,0,0,0,46.64,0,0,1.11,0,4.46
 60-70,0,0,0,6.97,0,0,102.83,0,0.87,12.96,0.75,0,0,0.8,0,1.16,0,0,0,29.65,0,0,1.49,127.56,5.86,0,0,0,0,2.32,0,0,0,0,0,14.17,0,0,0,0,0
 72-82,0,0,0,1.29,0,0.72,38.84,0,0,12.93,2,0,1.06,0,0,0,0.68,0,0,19.74,0.58,0.93,3.7,91.91,0,0,0.67,0,0,0.56,0,0,1.87,0,0,8.45,0,2.31,1.31,0,0
 84-94,0,0,0,11.88,0.79,0,60.26,0,1.27,9.56,1.34,0,0,1.27,0,3.31,0,0,0,42.37,0,6.33,6.9,79.77,0,1.65,4.72,0,1.01,2.19,0,0,0,0,0,10.96,0,1.76,2.07,0,0
 96-106,0,0,0,4.89,0,0,43.06,0,0.82,10.23,1.58,0,1.39,0.62,0,0.77,0,0,0,27.17,0,0.73,3.07,94.43,0,5.47,0,0,0,1.75,0,0,0.67,0,0,2.11,3.18,2.43,5.05,4.4,0
108-118,0,0,0,4.58,0,0,57.28,0.48,2.14,18.68,0,0,1.49,0.92,0.75,0,0,0,0,30.14,0,0.62,2.24,118.1,0,0,0.78,0,0,3.98,0,0,0,0.51,0,6.61,0,0,0,0,0
120,0,0,0,9.37,1.25,0,33.26,1.21,0,4.69,1.41,0,0,4.19,0,0,0,2.32,0,35.69,0,0,2.28,149.6,0,0,1.86,0,0,1.47,0,0,1.13,0,0,10.37,0,0,7.5,0,0
