stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,85.01,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.94,7.43,0,0,0,0,23.36,0,0,0,0,0,81.71,0,0,0,0,0,0,0,0,0,0,0,165.24,17.73,0,0,37.61,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.99,19.07,0,5.97,0,33.21,0,0,0,0,0,41.65,0,0,0,0,0,0,0,0,0,0,0,884.03,35.91,0,0,140.16,0,0,0,0,7.42,0,0,0,0,0,0,0
 14-21,0,0,2.54,52.6,14.81,0,22.69,0,0.82,0,8.08,0,101.2,0,0,0,0,0.92,0,0,25.46,0,0,10.6,415.73,4.21,0,0,5.32,0,6.02,1.53,20.83,0,13.81,9.88,70.79,0,0,0,0
 24-34,0,0,1.46,132.8,1.32,0,24.07,0,1.44,0,8.99,0,2.08,0,0.64,0.72,0.63,1.68,0,0,30.91,2.3,0,20.01,285.11,1.77,7.03,1.43,0,0,5.84,0,0.76,4.12,4.03,0.67,45.2,0,1.08,0,0
 36-46,0,0,0,139.7,0,0,25.86,0,22.22,0,4.4,0,0,0,0,0,0,0.77,0,0,43.47,0,0,12.18,153.94,0.71,7.84,2.13,0,0,6.8,0,0,0.56,3.73,0,39.57,0,0,0,1.13
 48-58,0,0,0,167.23,0,0,22.06,0.94,22.42,0,5.48,0,0,0,0,0,0,0.87,0,0.94,51.45,0,0.71,9.83,110.9,0,0.56,2.47,0,1.04,0,0,0,0.38,0,0,15.24,0,1.08,0,4.01
 60-70,0,0,0,250.05,0,0,30.12,0.66,32.78,1.71,11.12,0,0,0,0,6.38,0,4.16,0,0,70.92,2.41,1.02,10.38,136.69,0,0,10.82,0,0,2.58,0,0,0,1.57,0,8.53,0,0,0,0
 72-82,0,0,0,142.91,0.51,0,19.66,1.33,16.67,1.49,5.99,0,0,0.6,0,0,0,0,0,0,82.08,2.15,0,7.96,155.98,0,0,3.68,0,0,0.96,0,0,0,1.5,0,8.31,0,3.23,0,0
 84-94,0,0,0,375.57,1.34,0,29.93,0,26.95,0,5.21,5.49,0.71,0,0,0,0,0,0,0,57.62,2.46,0,14.87,60.44,0,1.37,7.07,0,0,4.16,0,0,0,2.71,0,6.34,1.21,0,2.31,6.95
 96-106,0,0,0,426.67,0.64,0.63,9.1,3.09,37.8,0,17.16,0,0,0,0,0.73,0,1.53,5.76,1.03,67.26,0.57,0,1.95,77.06,1.77,1.72,4.08,0,0,10.97,0,0,0,6.62,0,0,0,2.92,0.61,0
108-118,0,0,0,521.47,3.7,0.97,27.29,0.47,67.94,0.83,13.42,1.16,0,0,0,2.86,0.41,0,3.67,0,100.42,1,3.99,5.4,108.78,0.85,4.56,2.58,0,0,1.15,0,0,0,10.06,0,6.13,0,0,0,0
120,0,0,0,542.92,1.84,0,29.53,2.98,78.38,0,11.89,5.47,0,0,2.56,0,0,0,2.12,0,40.38,4.15,32.46,4.71,160.62,0,2.82,7.84,0,0,17,0,0,0,6.98,0,10.64,3.8,10.45,0,0
