stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.67,17.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,10.65,9.15,0,0,0,0,0,0
 14-21,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,1.09,0.83,0,0,0,0,0,1.02,0,0,7.82,0,0
 24-34,0,0,0,1.49,2.84,0,115.77,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,2.35,130.15,3.25,3.46,0,0,0,0,9.19,0,0,42.64,0,0
 36-46,0,0,0,1.03,0,0,209.94,0.85,0.64,0,1.3,0,0.59,0,0,0,0,0,0,0,5.31,7.26,0,0,912.25,2.36,7.46,0,0,5.28,0,128.66,0,0,31.09,0,0
 48-58,0,0,0,2.46,0,0,371.09,0,8.39,0.91,16.75,0,1.93,0,0.47,3.44,10.48,0,0,0,5.5,0,0.58,1.72,1155.43,0,6.45,0,0,0.87,0,266.09,0,0,18.16,0,4.02
 60-70,0,0,0,6.44,0,0,1639.8,0,0,0,19.58,0,1.21,5.1,7.08,0,0,0,0,0,6.61,3.03,3.05,0,1318.5,0,3.61,4.26,0,0,0,635.6,0,0,29.64,0.98,0
 72-82,0,0,0,11.65,1.52,0,2706.47,1.11,0,0.93,27.99,3.31,0,1.04,7.67,0,0,0,0,0,27.27,0,0.57,1.74,1153.03,0,13.64,0.71,0,1.39,0,588.59,2.68,0,79.26,0.75,5.96
 84-94,0,0,0,13.55,19.59,0,2351.06,0,9.46,1.1,36.91,0,3.67,0,1.91,0.67,1.38,2.95,0,5.92,41.95,0,1.17,4.48,860.53,4.6,39.16,2.01,0,2.11,0,416.27,1.03,0.84,65.59,0,4.02
 96-106,0,0,0,8.91,21.28,0.66,2286.4,1.72,2.6,0,19.5,2.11,0,0,13.1,0,1.42,0,27.96,0.67,40.04,0,7.92,3.94,741.27,0,41.15,5.02,3.24,1.68,0,137.14,7.75,0,68.49,1.57,0.8
108-118,0,0,0.54,10.59,22.54,3.42,2486.81,0,1.15,1.17,32.81,0.62,0,3.76,10.98,0.69,15.23,0.43,2.34,1.99,23.8,4.15,0,1.41,870.25,0,33.84,4.37,3.08,7.06,0,120.69,7.24,2.64,84.75,0,4.08
120,0,0,8.41,22.12,19.73,0,2216.84,0,1.03,0,22.84,0,0,0,21.04,0,8.53,1.77,0,0,94.72,0,0,0,662.21,0,14.1,4.96,0,3.11,0,86.4,2.56,0,78.61,0,17.42
