stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,16.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0
 10-12,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,3.21,0,10.55,0,0,0,0,0,0
 14-21,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,2.51,0,0,0
 24-34,0,0,0,1.6,12.53,0,0,1.43,0.73,0,0,0,0,0,0,78.56,0,0,0.77,1.57,6.09,0,11.03,0
 36-46,0,0,0.73,0,3.04,0,0,14.91,0,0,0,0.57,0,0,0,103.21,0,0,0,0,24.41,0,0,0
 48-58,0,0,0,0,6.67,0,0,32.66,0.39,0,0,0,3.4,1.99,0,55.81,0,0,0,0,7.3,0.42,0,0
 60-70,0,0.89,0,0,3.57,1.31,0,46.72,0,0,0,1.51,5.78,2.46,0,16.13,1.08,0,0,0,3.32,0,1.92,0
 72-82,0,0.87,3.2,1.29,4.95,0,0,32.86,2.75,0,0,0,5.34,2.52,0.51,39.12,3.42,0,0,3.2,1.14,0,6.96,0.54
 84-94,0,0,11.29,3.17,20.71,0,0,22.5,2.65,0,0,0,7.54,0.76,0,42,0,0,1.37,0.81,8.84,1.32,2.6,0
 96-106,0,0,6.16,3.96,10.55,0,0,24.4,0.63,0.58,1.24,0.6,9.46,0,0,85.05,2.04,0,2.4,0,0,0,11.11,0
108-118,0,0,16.36,0,13.93,3.53,1.95,25.36,0.49,0.59,3.33,2.81,6.8,0,0,56.49,1.21,0,0.99,0,0,0.47,2.48,0
120,0,0,17.68,12.99,32.04,2.58,0,50.56,0,0,0,0,0,0,0,101.72,0,0,0,4.27,8.31,0,0,0
