stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,37.98,5.85,0,0,0,0,0,0,0,0,61.54,0,0,0,13.82,1.16,0,0,1.58,1.81,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0
 24-34,0,9.05,7.62,0,3.25,0,0.82,0,0,0.68,0,328.6,0,0,0,14.91,1.53,0,0,2.06,20.82,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0
 36-46,0,28.47,0,0,1.8,0,0.63,0,0,0,0,1129.3,0,0,0,76.65,5.6,1.16,0,1.83,25.02,0,0,0,0,0,0,0,1.62,5.46,0,0,0.67,0,0
 48-58,0,13.12,5.51,0,5.48,0,2.95,0,2.43,1.73,0,1653.03,0,0,0,89.51,7.1,1.56,0,4.02,54.22,0,0.85,0,0,0,1.24,0,0,6.2,0,0.42,0.39,0,1.99
 60-70,0,4.34,0,0,20.22,0,18.88,6.29,4.35,1.59,0,2150.41,0,0,0,91.84,6.05,0.73,0.75,0,26.93,0,0,0,0,0,8.79,0,0,15.28,0,0,2.79,0,0
 72-82,0,8.14,0,0,31.49,0,4.37,3.55,10.27,7.67,1.04,2451.07,0,0,0,345.82,12.98,3.67,0,0,66.8,0,1.07,0,0,0,0,0,2.68,3.69,0.75,1.42,6.81,0,9.33
 84-94,0,10.86,7.34,0,33.44,0,0.7,0,4.1,34.24,0,4732.61,0,0,1.32,1104.88,15.05,3.24,0,2.03,60.79,0,0,0,0,7.18,15.1,0,0,5.23,5.83,0,4.37,0.82,11.18
 96-106,0,71.33,66.18,4.09,111.99,7.64,1.82,0.81,22.96,217.96,0.8,5044.58,16.16,0,2.21,2632.99,58.52,3.23,0,3.65,469.91,4.44,2.07,3.23,0,0,29.44,0.73,6.18,1.51,27.8,2.52,11.55,28.75,3.29
108-118,0,26.2,11.15,26.87,117.42,0.61,6.12,4.42,25.74,83.29,0,4718.23,0,4.98,0,6165.37,51.46,6.46,8.87,3.67,461.56,2.89,3.23,9.55,0,6.34,23.19,4.43,0.68,3.49,2.82,3.65,5.79,5.24,5.68
120,1.37,22.44,12.38,4.13,83.5,14.24,8.28,19.92,14.79,42.43,0,6321.72,0,0,7.67,4392.58,67.76,0,15.13,0,330.03,0,0,0,0,0,5.57,0,0,19.49,1.37,0,3.32,3.15,0
