stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,18.01,38.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.3,147.03,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,28.59,0,0,0,0,0,0,0,0,0,0
  7-9,14.56,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0,0,0,0,0,66.06,6.21,0,0,15.1,0,0,0,0,0,0
 10-12,0,0,0,15.31,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,99.37,0,0,0,44.46,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51,0,1.95,0,0,0,0,0,0,0,1.13,1.95,0
 24-34,0,0,0,0,5.1,1.61,0,3.91,0,0,0,0,0,0.67,1,0,0,0,2.77,4.16,35.03,0,0,0.7,0,15.47,0,0,1.51,0.78,4.76
 36-46,0,0,1.35,0,3.07,3.91,0,1.53,0.67,0,0,0,0,0,19.37,0,0,0,2.53,0,24.08,2.73,0,0,0,28.53,0,4.58,0,6.83,0
 48-58,0,0,0,0,3.91,0,0,8.3,2.16,1.52,1.14,0,0,0,0,0,0,0,2.17,0,15.11,0,1.22,0,0,2.01,0,0,0,8.19,3.32
 60-70,0,0,0,0,5.08,1.29,0,20.33,0,6.39,6.64,3.6,0,0,0,4.57,0,0,7.69,1.71,17.88,5.17,1.33,0,0,35.65,0.6,0.63,0,19.46,3.81
 72-82,0,0,0,0,0,0,0,6.75,0,0,9.27,0.66,0,0,0,0,0,2.04,16.03,0.64,13.86,0.89,0,0,0,17.68,0,0,0,5.11,0
 84-94,0,0,0,0,0.57,0,0,13.06,0,0,3.16,0,0,0,0,5,0,0,6.95,0,1.4,0,0,3.1,0,1.03,0,0,0,2.17,0
 96-106,0,0,0,0,0.66,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,8.88,0,0,0,0,0,0,1.18,0,0,0
108-118,0,0,0,0,5.69,0,0,4.68,0,0,2.83,1.32,0,0,3.36,7.22,0,2.26,5.82,0,5.15,0,0,4.08,0,4.01,0,0.53,0,0,0.79
120,0,0,0,0,13.19,0,1.05,17.47,0,2.34,3.22,5.88,0,0,6.54,0,3.39,0,4.21,0,41.17,0,4.78,0,0,6.61,0,3.71,0,0,0
