stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste
  5-6,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0,0,8.85,0,0,5.94,0,0,0,0,0,0
 10-12,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.95,0,0,0,0,0,0,0,4.47,0
 14-21,0,0,0,0,20.37,1.76,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0.86,0,0,0
 24-34,0,1.47,0.81,0,258.69,20.07,0,0,0,0,0,0,0.99,0,0,1.22,0,0,0,9.01,0,0,0,0,0,20.64,5.13,2.38,0
 36-46,0,0,0,0,169.68,14.92,0,0,0,0,0.95,0,0,0,0,8.79,1.02,1.26,0.72,2.34,1.12,0,0,0,0,2.34,1.38,1.72,0
 48-58,0,0,1.95,0,99.78,27.51,4.75,0,0,0,0.59,1.16,0,0,0,25.52,0,0,0.83,9.61,0,0,0,0,0,2.28,0,0,0
 60-70,0,0,1.4,0,75.82,8.94,0,0,2.32,0,0,0,0,0,0,35.96,0,0.95,3.54,36.69,0,0,0,2.2,0,2.65,0,0,0
 72-82,0,5.78,3.12,0,35.74,1.58,6.94,0,1.25,0,0,0,0,0,0,95.37,1.79,5.98,5.98,32.56,0,0.55,0,0,0,0,0,2.15,0
 84-94,0,19.07,3.86,0,92.36,1.94,1.32,1.73,7.78,0,0,0,0,3.41,1.91,107.97,0,0,2.17,82.09,0,0,0,0,0,0,0,0.99,0
 96-106,0,13.54,13.43,4.69,62.68,7.28,1.65,4.48,6.48,0,0,0,0,0,0,149.36,1.64,0,9.64,38.73,0,0,0,0.95,4.11,1.39,0,4.04,2.05
108-118,0,11.27,4.58,0,53.41,19.79,1.46,0,9.65,0,0,0,0.46,0,0,215.42,3.45,0,16.87,40.3,0,0,0,1.12,0,0.42,0,0,7.15
120,0,15.43,5.92,0,21.87,1.75,3.29,0,14.12,0,2.11,0,0,0,0,194.32,0,0,7.36,58.22,0,0,0,0,0,0,0,0,0
