stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,96.01,1708.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.55,0,0,0,0,0,0,0,0,0,0
  5-6,92.66,641.54,0,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,22.11,0,0,0,10.03,0,56.65,0,0,0,0,0,0,0,0,0,0
  7-9,6.95,10.75,0,9.02,0,0,0,10.48,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,152.57,0,0,0,86.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.73,0,8.35,0,21.87,0,10.36,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,655.35,22.7,0,0,418.2,0,0,0,0,24.51,0,11.6,0,0,0,0,0
 14-21,0,0,1.95,0,14.39,1.02,0,9.92,0,0,0,0.81,0.92,0,0,0,0,0,0,0,0.82,0,0,1.44,340.05,0.82,6.14,1.89,0.86,0,0,0.91,22.24,0,5.51,12.22,276.58,0,0,0,0
 24-34,0,0,2.25,0,1.46,0.94,0,43.03,0,0.78,0,5.04,0,0,0,0,3.56,0,0,1.97,4.81,0,0,4.44,3013.66,0,48.55,2.27,0,0,0.68,0,0,0.7,1.62,0.9,495.36,0,18.79,0,0.86
 36-46,0,0,0,0,18.86,0,0,314,3.83,0,0,51.08,0,0,0.87,0,0,0,0,0.57,13.98,0,0,6.9,7869.7,0,18.3,6.05,0,0,5.16,0,0,0,0,0.69,1112.79,0,1.3,0,0
 48-58,0,0,0.84,0,23.37,0,0,913.45,0,5.15,9.26,124.98,0,0,0,8.1,0.66,2.33,0,2.38,27.13,0,0,11.92,7893.93,8.18,11.8,0.62,0,0,7.34,0.65,0,0.38,0.68,0,1386.4,0.79,6.91,0,11.02
 60-70,0,0,2.16,0,5.94,0,0,1336.19,0,0,0,109.67,0,0,0.87,0,0,6.5,1.16,0,21.71,0,5.24,9.29,5056.61,5.48,17.46,1.74,0,0,21.42,0,0,0,0,0,879.14,0,4.46,0,0
 72-82,0,0,4.24,0,8.91,13.59,0,1029.77,0,3.26,0.78,40.46,0.66,0,0.58,4.17,0,7.49,0,0,48.67,0,0.9,1.96,3126.78,0,12.73,1.97,0,0,0,0,0,0,0,0,407.01,0.63,0.82,2.33,0
 84-94,0,0,3,0,16.76,1.05,0,980.92,0,0.66,0.64,49.25,1.68,0,2.33,0.79,0.69,0,1.05,0,32.7,0,4.26,1.78,2122.35,0.89,22.26,0,0,0,3.64,0,0,0.56,1.38,0,307.48,2.61,5.47,0.61,8.01
 96-106,0,0,0,0,21.91,4.88,0,486.25,0.86,0,0,25.64,0,0,1,0.66,0,0,0,5.88,28.95,0,0.85,7.41,1694.36,0.62,12.99,0,0,0,0.72,0,0,1.89,0,0,109.74,0,0.68,1.68,0
108-118,0,0,2.61,0,23.48,1.47,2.73,500.23,0,0,0.5,39.08,4.42,0,0,0,1.52,2.12,0,6.78,33.06,3.54,0,0,2618.61,3.22,15.72,0.74,0,0,10.61,0,0,0.41,0,0,129.81,0.84,2.87,0,2.58
120,0,0,0,0,40.78,0,0,657,0,11.18,0,121.64,0,0,4.83,1.53,3.6,0,0,5.58,37.5,0,0,0,3155.75,0,10.13,2.11,0,2.76,0,0,0,1.13,0,0,72.68,0,0,10.94,0
