stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3.21,2.03,128.38,39.79,42.08,0,2.64,0,197.72,7.74,0,1.15,0,0.89,0,0,0,0,65.16,0,0,28.35,1129.61,42.52,20.46,71.87,49.94,0,1.2,1.53,129.37,148.2,2.08,57.5,872.56,0,0,1.55,0,2.45
 24-34,4.63,2.64,39.7,0.9,51.57,0,0.78,5.36,154.65,0,0,0,0,0,3.74,3.7,0,0,99.66,0.84,0,51.07,1470.68,5.25,54.9,15.85,0,0,4.37,0,0,94.48,1.03,21.67,696.07,0,0,6.85,0,0.63
 36-46,2.49,0,32.15,1.22,109.69,1.79,0.57,12.06,232.95,0,0,2.31,0,0,0,5.27,8.38,0.79,169.91,0,7.45,53.55,1882.72,2.1,72.67,10.14,0,0,5.77,1.41,3.53,48.69,0,0,624.34,0,2.46,25.94,0,8.82
 48-58,0.42,0,19.09,4.31,266.05,0,6.85,6.17,201.05,0.61,0.48,4.2,0.37,0,0,5.08,0,4.27,135.82,0,10.4,21.44,1644.59,1.16,35.76,14.88,0,0,7.46,0,0,26.25,0,0,462.6,0,1.24,2.46,0,5.31
 60-70,0,0,10.74,0,636.56,0,1.68,5.76,209.39,5.26,0,0.9,3.84,6.34,0,14.86,0,0,208.23,1.14,7.17,26.74,1688.71,3.62,19.64,25.57,0,13.98,16.84,0,0,8.34,0,0,307.4,0.99,10.16,3.85,2.08,4.93
 72-82,7.12,0,20.12,6.79,456.42,1.07,0.62,13.82,187.9,5.05,0,3.02,0,0.54,1.51,10.77,2.04,0.49,250.77,5.11,6.81,26.25,1233.27,1,43.89,27.66,0,3.67,4.36,0,0,5.57,0,0,193.07,0.82,5.18,6.38,8.01,30.85
 84-94,4.35,1.04,32.76,10.69,396,0,1.36,17.38,171.02,5.5,2.77,5.23,0,2.56,1.49,10.53,0.96,16.7,256.31,0,30.63,14.8,906.12,2.11,50.76,50.11,0,0,30.68,2.8,0,4.98,0,0,118.45,0.9,8.31,12.91,9.1,12.43
 96-106,2.99,1.07,22.33,1.89,320.6,0,2.51,9.28,175.72,9.38,0,5.76,2.53,1.23,0.92,24.91,0,1.76,265.16,0.97,9.69,15.24,656.97,2.13,42.26,68.68,0,1.36,25.97,0,0,7.32,0,0,72.05,0,12.04,14.6,15.08,18.91
108-118,9.89,1.4,29.34,6.87,330.49,3.03,7.25,5.05,164.64,3.87,0,3.58,2.41,0.44,0,10.6,3.03,2.4,291.32,12.47,8.77,6.48,885.8,5.25,34.51,44.22,0,6.55,18.67,0,0,6.66,0,0,50.95,1.79,4.69,4.33,11.85,11.93
120,6.05,0,20.79,14.14,297.16,0,5.66,4.91,213.93,12.46,0,1.17,0,0,0,24.53,0,1.33,168.67,0,24.24,9.13,1027.62,7.24,57.08,55.23,0,0,4.18,1.53,0,2.81,0,0,42.33,0,18.8,8.75,23.98,0
