stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,11.14,0,0.79,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.48,0,0,0,0,0.59,0,0.73,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,30.32,0,0,0,0,0,0,0,0,19.41,0,0,0,0
 72-82,0,8.14,1.23,0,26.55,0,0,0,5.13,0.55,0,0.63,0,0,3.59,0.96,0,12.29,1.59,0,2.8,110.45,0.53,1.04,0.79,0,10.67,0,0,9.33,519.76,0,5.27,8.04,9.66
 84-94,0,38.04,1.66,0,43.88,0,0.64,0,4.49,15.4,0,1.22,1.02,0,4.14,0,0,12.43,0,2.78,1.02,78.45,0,1.37,0,0,9.37,0,0,0,2831.91,1.38,0,0,0
 96-106,1.86,68.31,28.42,2.84,135.29,1.46,1.81,2.38,55.6,57.98,0,4.91,2.12,0,18.51,4.12,7.73,74.32,0,2.61,20.71,270.97,1.2,18.73,5.87,0,64.94,0.57,1.17,2.6,9817.99,12,6.1,13.68,19.4
108-118,0,182.09,12.88,4.51,78.91,0.58,3.72,4.12,10.59,31.19,3.73,0,4.74,5.59,4.94,0,0,60.55,0,4.03,5.05,164.95,0.59,12.01,4.57,3.71,17.38,0.44,0,3.55,9884.29,1.04,6.02,2.64,0.51
120,0,78.95,0,0,36.24,0,1.78,1.44,7.82,11.82,0,1.96,0,10.67,2.64,0,0,23.99,0,0,1.82,132.7,0,22.13,1.86,0,5.54,0,0,22.27,3556.16,5.29,4.9,0,64.24
