stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.36,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.27,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0.99,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,4.52,0,1.44,0,0,0,0,2.52,0,0,0,0,0
 24-34,0,0,1.16,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.09,0,1.27,0,0,0,0,4.63,0,0,0,0,0
 36-46,0,0.98,1.8,0.57,2.7,0,0,1.69,0,0,3.08,0,0,0,0,9.35,0,0,0,277.02,0,3.17,0,0,0,0,10.83,0,0,0,0,0
 48-58,0,0,1.84,0,42.17,0,0.38,10.02,1.34,0,0,0,0,0,0,13.22,0,0,1.04,444.91,0,6.21,0,0,0,0,17.13,0,0,0.77,0,0
 60-70,0,0,4.88,0,123.96,0,0,0.57,0.76,0,0,0,0,0,0,41.96,0,0,0,673.72,0,2.98,7.28,0,0,0,38.6,0,0,6.11,0,0
 72-82,0,0,6.55,0,201.94,4.8,2.5,6.36,1.97,0,0,8.63,0,2.18,0,82.57,0,8.39,1,879.12,0,4.46,1.38,0,6.68,0,72.57,0,2.93,7.75,3.58,1.15
 84-94,0,0,0.64,0,144.27,0,0.96,15.82,1,0.92,0,0,0.69,0,2.28,30.2,0,5.76,0,524.48,0,0,1.52,0,5.8,0,21.51,0,0,0.88,0.89,0
 96-106,0,0,1.03,1.21,190.05,0,0,13.69,5.28,1.7,0,0.75,0.75,0,0,66.97,0.69,1.46,1.18,535.42,0,3.53,0,0,13.07,0,13.96,1.82,0,0,3.68,1.69
108-118,0,0,4.35,6.55,166.07,0,0.5,7.64,1.76,0,1.12,0,0,0,0,100.9,0,2.74,0.6,691.06,0,1.33,0.83,0,20.69,5.5,12.14,1.68,2.13,3.96,3.67,1.74
120,0,0,6.02,0,184.22,0,0,29.94,0,0,0,0,0,0,0,86.99,0,7.65,0,841.72,3.99,8.07,0,0,19.83,2.49,38.62,0,0,6.45,18.61,0
