stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,164.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0,0
  5-6,13.08,179.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.87,0,0,14.63,0,0,50.06,0,0,0,0,0,0,0,0,0,135.88,95.14,0,0,79.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9,0,37.82,0,0,31.68,0,0,0,0,0,0,0,0,0,766.41,235.53,0,0,294.14,0,0,5.47,0,32.27,0,0,0,0,0,0,0
 14-21,0,0,1.07,0.92,7.97,5.89,3.77,99.39,0,0,0,0,9.46,0,0,1.31,95.49,12.81,4.45,16.71,11.9,0,0,0,3.37,68.4,1.83,295.92,0,0,0,0,0
 24-34,0,0,0,0.61,3.42,0,0,88.95,0,0,0,0,13.41,0,0,0,100.83,15.05,25.43,5.94,0,0,0,0,0,46.4,1.56,191.1,0,0,2.39,0,2.44
 36-46,0,0,0,0,0,0,1.34,60.9,0.61,0,1.61,0,0,0,0,1.63,113.2,10.34,45.25,2.91,0,0,0,0,3.29,89.48,0.7,133.79,0,0,0,0,0
 48-58,0,0,0,0,2.51,0,2.47,96.28,0,0,0.62,6.3,3.11,0,2.96,0.43,65.99,8.96,33.34,5.69,0,0.56,0,0,0,7.76,0,130.34,0,0.51,0,0,0
 60-70,0,0,0,0,0.96,0,0,64.01,0,0,2.23,0,6.46,1.53,11.48,4.1,51.05,1.17,37.61,21.81,0,0.71,0,0,0,4.3,0,66.32,0,1.22,0,0,0
 72-82,0,0,1.29,0,0.54,0,7.49,72.63,0,0,5,0,0.62,0,1.53,0.57,48.53,0.63,36.8,14.37,0,0.8,0.94,0,0,2,0,39.65,1.16,0.61,0,0.54,0
 84-94,0,0,0,1.01,0.81,0,5.73,51.1,0,0,5.24,0,8.51,0,0,0.98,42.11,2.04,34.59,19.82,0,0,0.92,1.4,0,6.48,0,32.92,0,0,6.1,1.41,0
 96-106,0,0,0.83,0,0,0,4.37,36.02,1.04,0,8.54,0,14.49,0,0,0,8.03,0,42.36,22.79,0,0,0,0,0,9,0,24.01,0,0,0,0.85,0
108-118,0,0,0.71,0.77,0.42,0,2.27,43.91,0.91,0.57,6.63,0,1.25,0,0,0,24.28,0,23.61,18.93,0,0,0,0,0,6.18,0,5.53,0.67,0,0,0,0
120,0,0,1.37,0,1.96,0,6.46,67.24,0,0,11.65,3.16,14.59,0,0,0,57.8,0,30.93,21.33,0,0,0,0,0,6.44,0,19.67,0,0,0,0,0
