stage,endocrine_pancreas,epidermis,eye,fast_muscle,glial,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.16,0,0,0,4.75,0,0,0,5.3,0
 24-34,0,2,3.89,0,0,0,0,0,0,0,0,36.03,0,0,1.06,7.39,0
 36-46,0,2.38,1.43,0,1.08,0,0,0,0.83,0,0,10.28,0,0,0,6.36,0
 48-58,0,0,12.27,0,0,0.39,0,0,10.58,0,0.6,23.74,0,0,0,4.31,0.56
 60-70,0,0,19.33,0,1.61,1.14,0,0,2.51,0,0,40.98,2.05,0,0,5.72,0
 72-82,0,0,17.17,0,11.29,8.55,0,0,3.09,0,0,55.47,0,0,0,8.76,0.55
 84-94,0,0,7.91,0,6.21,1.97,6.41,0,0,0,0,44.4,0,0,0,10.69,2.42
 96-106,0,0,10.73,0,8.03,0.63,0,0,0,0,0,7.38,0,0,0,8.52,0
108-118,0.6,0,7,2,12.85,0,0,0,3.29,0,0,24.9,1.82,0,0,0,0
120,0,0,27.97,0,0,0,0,0,5.7,1.38,0,190.19,4.78,0,0,3.5,0
