stage,blastomeres,eye,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pronephros,somites,spinal_cord
  5-6,23.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.58,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.95,0.82
 24-34,0,0,0,0,0,0,0,8.83,0,0,0,0,0.64
 36-46,0,0,0,0.75,0,0.7,0,6.96,0,0,0,0,2.08
 48-58,0,3.94,0,0,0,0.39,0,11.67,0,0,0,0,0
 60-70,0,2.29,0,0,0,0,0,6.9,0.77,0,0,0,3.49
 72-82,0,5.21,1.08,1.37,0,0,0,6.32,0,0,0,0,0
 84-94,0,5.8,0,1.42,0,0,0,4.76,0,0,0.56,0,0
 96-106,0,2.03,0,0,0.7,0,2.2,2.46,0,0,0,0,0
108-118,0,0,0,0.76,0,0,0,1.14,1.3,0,0,0,0
