stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,16.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.33,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,17.66,5.24,0,0,58.68,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.13,0,0,5.01,0,0,0,0,0,9.8,0,0,0,0,0,0,64.46,17.71,0,0,340.01,0,0,0,0,0,122.74,0,0,0,0,0
 14-21,0,0,1.68,0,0,0,0,0,0,0,0,1.82,0,0,4.02,0,70.4,5.18,1.7,0,0,0,0,0,11.66,0,904.04,1559.17,7.46,0,0,0,0
 24-34,0,0,1.48,0,1.46,12.7,0,0,0,0,0,0,0,0,4.84,0,42.75,61.95,0,0,0.61,1,0,7.63,0,0,86.53,212.79,8.16,0,2.78,0,0
 36-46,0,0,0,0,9.7,8.79,0,0,0,0,0,0,0,0,12.7,0,23.21,15.04,0,1.09,0,0,0,0.91,0,0,62.14,2.44,13.65,0,0,0,0
 48-58,0,0,2.09,0,9.44,11.78,0.41,0.45,1.03,0,0,0,0,0,23.34,0.52,43.42,29.8,0.46,0,0,4.77,0,3.99,0,0,24.21,0,2.79,0.42,1.91,0,0
 60-70,0,0,0,0,26.66,11.09,0,0,2.41,3.6,0,0,0,0,24.72,5.66,32.88,24.74,0,1.17,0,0,0,0,0,0,33.2,0,1.13,1.24,10.14,2.03,0
 72-82,0,0,2.81,0,10.59,4.54,0,0,0,0,0,0,0,2.05,56.99,12.09,42.26,23.54,0,0,2.53,1.13,2.35,4.46,0,0,17.87,0,0,3.44,4.08,7.17,0
 84-94,0,0,0,0,5.7,33.62,0,0,9.16,0,0,0,0,0,30.49,10.11,59.11,25.63,0,0,0,0,0,0.98,0,0,26.71,0,0,2.07,0.6,15.12,0
 96-106,0,0,1.75,0,19.24,44.11,0,0,5.42,0,0,0.82,0.93,1.48,31.22,2.24,63.74,22.5,0.82,2.04,0.92,1.2,2.48,10.04,0,0.87,17.14,0,0,1.03,8.95,5.94,0.8
108-118,0,0,1.09,4.01,9.41,48.93,0,0,5.51,0,0,0,0,0,49.38,2.81,95.65,27.96,0,0,0,8.11,0,0.41,0,0,25.36,0,0,0,16.12,5.71,5.54
120,0,0,3.25,0,8.04,125.67,0,0,0,0,0,0,0,0,25.99,4.76,87.52,47.04,3.54,2.28,0,0,0,0,0,0,4.04,0,0,0,19.35,21.79,0
