stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.73,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.84,81.43,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.5,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1,13.62,0,0,3.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,34.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,23.32,1.63,0,0,0,0,1.95,10.55,7.02,1.36,0,0,0,0,0
 24-34,0,0,0,0,7.12,1.27,0,9.69,149.21,1.93,0.63,2.82,0,0,6.88,0,1.39,0,0,0,2.86,17.94,0,58.62,126.98,0,2.57,0,0,4.25,0,151.09,14.1,15.83,0,0,8.58,0,0
 36-46,0,0,0,0,0,0,0,13.78,441.84,2.33,0,10.01,0,0,2.66,0,3.08,0.94,0,0,0,16.23,0,54.97,161.64,3.06,0,1.83,0,1.56,0,360.52,0.9,22.58,0,0,10,0,0.67
 48-58,0,0,0,0,10.19,0.53,0,50.82,401.32,0.37,1.33,13.42,0,0,8.95,2.66,0.55,0.63,0,0,3.2,22.37,0,26.6,198.9,0.66,0,2.32,4.77,1.91,0,378.23,0,36.32,0,0,3.06,0,9.44
 60-70,0,0,0,0,3.13,1.19,0,60.86,181.1,0,0,13.56,0,0,4.76,1.88,0,1.09,0,0,0,23.35,0,19.25,104.75,0,0,0,0,8.31,0,178.06,0,22.61,0,0,0.96,0,0
 72-82,0,0,0,0,1.88,2.05,0,71.74,117.89,1.5,0,27.14,0,0,0.49,1.71,0,0,0.75,0,0,34.12,0,18.86,76.66,0,4.56,5.03,0,1.03,0,98,0,2.55,0,0,2.32,0,5.03
 84-94,0,0,4.68,0,2.3,1.65,1.24,76.34,150.25,0,1.39,10.39,0.93,0,3.38,1.87,0,0,0,0,0,20.93,0,7.04,42.31,0,1.28,0,0,2.13,0,122.27,0,5.89,2.36,0,1.63,0.82,0
 96-106,0,0,0.83,0,0.99,16.77,0,120.97,180.61,0,0,18.47,0,0,3.17,0,0,0,1.04,0.93,0,19.23,4.1,12.87,73.09,4.83,0,0.61,0,4.94,0,117.85,0,1.09,0.99,2.5,4.53,0,5.3
108-118,0,0,0,0,4.29,6.84,0,159.52,108.86,0.64,0.45,9.08,0.68,0,4.95,0.42,0,1.28,0,4.5,0,11.68,0,15.37,45.63,0,0,0,0,2.09,0,50.35,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,217.05,47.32,0,0,4.7,0,0,0,3.87,0,0,0,0,0,20.03,0,0,54.09,0,0,0,0,0,0,23.9,0,3.5,0,0,2.75,0,0
