stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.96,0,0,0,0,0,0,0,0,0,359.38,0,0,0,0,0,0,0,0,0,4.8,0,0,3.32,0,25.88,0,0,0,0,0,0,0
 10-12,0,0,7.84,0,0,0,0,0,0,0,0,0,441.23,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,8.13,0,0,0,0,0,0,0
 14-21,0,0,0,5.76,13.03,0,0,0,0,0,0,0,182.21,0,0,0.83,0,14.24,0,0,0,1.11,3.87,0,0,0,0,57.5,0,0.81,1.23,0,0,0,0
 24-34,0,0,0,3.37,0.67,0,0,0,0,0,0,0,34.37,3.49,3.23,0.81,0,0.66,5.34,2.13,0.66,0.89,9.22,0,0,0,0,20.2,1.16,0,2.14,0,0,0,1.51
 36-46,0,0,0,5.95,0,0,0.69,0,0.57,0,0,0,1.35,0.69,1.86,0.77,0.83,0,7.39,0,0,0,6.88,0,0,0,0,24.41,0,0,0,0,0.85,11.3,18
 48-58,0,0,0,4.84,0.56,0,1.45,0,0.55,0,0,0,0.99,0,0.93,0,0,0,0,4.78,0,0,3.32,0,0,0,1.46,15.94,0,0,0,0,0,6.53,24.12
 60-70,0,0,0,0,0,0,2.38,0,0,0,0,0.77,0,0,0.78,0,0,1.63,7.66,5.67,1.46,0,6.67,0.84,0,0,0,20.23,0,0,0,0,0,0.72,20.33
 72-82,0,0,0,10.52,0,0,5.92,1.19,0,1.17,0.6,0.78,0,0,1.09,0.52,1.14,2.18,0,28.43,2.17,0,5.75,0,0,0,0,10.79,0,0,4.5,0,0.52,1.46,6.09
 84-94,0,0,0,5.04,7.29,0,12.41,0,0.71,0,0,1.46,5.93,0,0.95,0,0,0,0,19.02,0,3.81,1.83,0,0.71,0,0,40.92,0,0,0,2,1.28,4.11,23.74
 96-106,0,1.07,0,26.13,7.36,0.97,13.51,0,1.3,0,2.9,19.38,0,0,13.1,1.74,3.55,0,0,41.52,2.52,0,22.01,2.21,0,0,0,73.7,0,0,0,2.84,0,1.37,26.4
108-118,0,0,0,52.76,1.86,3.83,16.4,1.09,3.44,0,0,31.33,0,0.83,6.19,1.01,2.09,0,5.26,70.15,1.43,1.33,11.56,0.46,0,0,0,66.09,0,0,0,7.24,2.74,1.42,37.21
120,0,0,0,24.34,2.41,0,3.67,0,3.38,0,0,32.2,0,4.26,7,1.65,2.39,2.23,0,19.25,3.01,0,10.07,1.29,0,0,0,53.9,0,0,0,0,0,0,9.37
