stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,214.77,4457.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.18,0,0,0,0,0,0,0,0,0,0
  5-6,121.08,3252.14,0,9.08,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,80.92,17.23,0,0,0,1164.78,0,0,0,0,0,0,0,0,0,0
  7-9,44.04,0,0,3.69,0,0,23.92,0,0,0,0,12.72,0,0,0,0,0,0,0,0,0,0,0,320.4,100.4,0,0,60.22,237.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,64.45,0,0,59.92,62.88,5.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.66,27.8,2.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,2.28,15.74,0,1.37,74.8,77.74,0,1.47,1.56,3618.57,0,11.28,0,15.61,1.8,26.46,0,0,0,0
 24-34,0,0,0,0,51.22,0,15.55,0.91,6.1,2.09,0,0,0,0,13.4,0,0.63,0,0,19.88,26.29,0,13.43,178.06,12.45,10.51,0,0,3272.18,0,0,5.59,0,1.47,20.07,0,7.21,0,0.63
 36-46,0,0,0,0,37.81,0,10.32,0,19.94,4.87,1.87,0,0.75,0,4.96,0,0,0,0,5.63,49.78,0,2.32,108.96,1.8,4.71,2.8,0,3707.33,0,1.63,0,0,0,43.67,0,3.83,0,10.12
 48-58,0,0,0,0,52.03,0,40.24,0.39,23.36,6.68,0,9.46,0,0,2.78,0.43,0,5.79,1.33,10,9.3,0,0.85,69.33,1.4,3.27,0,0,1863.43,0,0,0,0,0,16.93,0,0.39,0,2.31
 60-70,0,0,0,0,76.8,0,38.03,0,47.62,4.15,0,1.71,0,0,15.31,0,0.7,0,0,9.3,14.54,0,1.7,98.44,2.09,2.24,2.71,0,1590.71,0,0,0,0,0,3.54,0,0,0,0
 72-82,0,0,0,0,65.47,1.74,29.66,0,11.56,2.27,0,2.21,0,0,6.27,0,0.79,0,0,9.51,6.61,0,0,45.97,0.61,1.13,0,0,768.71,0,0,0,0,0,0,2.88,0,0,0
 84-94,0,0,0,0,192.16,0,8.78,0,38.73,15,1.27,2.78,0,0,35.69,0.82,0,0,0,7.7,7.8,0,0,30.44,0,3.99,0,0,2153.05,0,0,0,0,0,1.85,2.74,1.12,0,0
 96-106,0,0,0,0,218.91,4.78,36.46,5.83,67.41,17.2,9.58,0,0,0.6,51.39,0,0.62,7.38,0,16.61,21.09,0.8,0.87,66.85,0,7.3,1.39,0,2509.83,0,0,0,0.69,0,0,4.69,0,2.33,14.55
108-118,0,0,0.71,0,271.12,3.37,24.24,0,93.66,12.29,10.99,0,0,0.52,51.9,2.69,0.51,0,0.94,18.99,25.73,0.46,1.67,123.74,0,1.13,1.81,0,2143.94,0,0,0,0,0,3.96,4.82,2.11,6.32,15.57
120,0,0,0,0,163.29,0,31.43,0,71.59,1.59,4.64,0,0,2.23,8.76,0,0,0,0,11.32,24.51,0,0,54.91,0,0,1.05,0,977.88,0,0,0,0,0,0,0,0,0,0
