stage,axial,blastomeres,eye,iridophores,mesenchyme,neural,olfactory,pronephros,spinal_cord,vasculature
  3-4,26.49,14.02,0,0,0,0,0,0,0,0
  5-6,0,19.94,0,0,0,0,0,0,0,0
  7-9,0,0,10.74,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.52,0,3.78,0,0
 14-21,0,0,0,0,1.12,0,0,0,0,0
 24-34,0,0,0,0,0,1.22,0,0,0,0
 36-46,0,0,0,0,0,0.63,0,0,0,0
 48-58,0,0,0,0,0,0.48,0,0,0,0
 60-70,0,0,0,0,0,1.17,0,0,0,0
 72-82,0,0,0,0,0,0.49,0,0,1.5,0
 84-94,0,0,0,0.7,0,0,0,0,0,0
 96-106,0,0,0.9,0,0,0,0,0,2.02,0
108-118,0,0,0,0,0,1.9,1.21,0,0,1.44
