stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,58.1,1123.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,93.28,1275.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.75,8.7,0,0,6.56,0,6.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,22.01,0,55.32,0,0,131.99,0,0,0,0,0,24.2,0,0,0,0,0,0,0,0,0,0,0,597.73,38.21,0,0,240.28,0,4.34,4.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,36.19,0,22.28,0,0,56.69,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,778.71,37.16,0,0,321.35,0,3.81,5.47,0,72.91,0,7.28,3.28,0,0,0,0,0
 14-21,0,0,0,0.93,12.66,6.64,6.98,0,0.88,0,2.29,0,0,0,0,0,0,0,0,0,2.78,0,0,1.88,94.25,0,0,0,1.9,0,2.05,0,14.12,0,1.72,9.21,20.95,0,0,0,0,0
 24-34,0,0,0,0,6.54,0,12.11,0,0,0.97,3.87,0.67,0,0,0,0.65,1.56,1.38,0.61,0.59,14.82,0,0,12.07,149.67,0.67,0,1.74,0,0,5.03,0,0.71,2.97,0,1.33,44.37,0,0,6.55,0,0
 36-46,0,0,0,0,5.35,0,36.87,0,0,1.23,14.02,0,0,0,2.48,0,0,0,0,4.08,14.51,0,0,2.99,184.21,1.39,0,0,0,0,7.21,0,0,0,0,0,11.6,0,0,1.72,0,0
 48-58,0,0,0,0,2.46,0,63.81,0,1.04,1.66,15.76,0,0.37,0.67,1.77,0.86,0,0.44,0,0,14.06,0,0,5.15,101.86,0,1.38,1.72,0,0,5.09,0,0,0,0,0,27.64,0,0,0.38,0,0
 60-70,0,0,0,0,11.81,0,68.28,0,0,0.87,23.99,0.99,0,0,0,0,0,0,0,0,23.13,0,0,2.17,97.99,1.76,0,0,0,2.16,4.82,0,0,0,1.34,0,15.96,0,0,6.95,0,0
 72-82,0,0,0,0,4.36,6.18,49.33,0.69,0,2.77,10.07,0.63,0,1.5,0,0,0,2.78,0,5.42,18.19,0,1.22,2.34,59.64,0,0,0,0,0,6.75,0,0,0,0,0,25.06,0,1.51,1.83,2.2,2.54
 84-94,0,0,1.75,0,3.08,8.63,30.98,0,5.35,0,8.89,2.39,0.64,0,1.28,0,0,0,2.58,0,34.28,0,1.44,1.27,80.47,0,0,1.75,0,5.06,2.75,0,0,0,0,0,9.05,1.5,0,1.66,0.77,0
 96-106,0,0,0,1.03,3.4,11.5,31.34,3.88,0,0,19.58,0,0,0.89,0,0,2.85,0.62,1.45,0.67,20.06,1.9,0,2.88,50.94,0,2.57,3.2,0,1.86,7.48,0,0,0,0,0,5.15,0,0,1.21,0,1.36
108-118,0,0,0.94,0.74,4.58,2.35,30.93,0.75,0,1.42,22.22,0,0,1.56,1.4,0,1.28,0,0,0,17.5,1.96,2.11,3.88,67.22,0.77,0,3.03,0,0,10.3,0,0,0,0,0,8.11,0,0.67,8.42,0,0
120,0,0,0,0,9.31,4.81,90.46,0,9.66,6.71,16.19,0,0,0,4.75,0,0,0,0,0,73.68,0,0,6.98,260.05,0,4.03,0,0,0,1.05,0,0,2.61,0,0,0,3.65,0,4.29,0,0
