stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.74,1230.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.83,0,0,0,0,0,0,0,0,0,0,0
  5-6,96.19,1133.81,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,88.06,7.03,0,0,8.27,0,41.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,30.07,6.93,0,14.38,0,0,29.29,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0,359.42,29.49,0,0,137.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.7,7.37,0,0,42.37,0,0,15.32,0,4.54,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.19,4.49,2.66,4.15,0,0,0,1.99,0.91,0,0.92,0,0,0,0,0,0,9.53,0,0,3.54,73.73,3.11,0.85,0,1.13,0,0,0,6.39,0,0,1.19,21.62,0,0,0.83,0,0
 24-34,0,0,0.66,0.6,5.16,0.6,7.25,0,0,0.7,2.14,0.91,0,1.04,1.42,0.68,0,0,0,0,11.99,0,0,5.26,45.78,0.6,0.76,0,0,0,0.68,0,0,0,0,0,9.94,0,0,4.69,0,5.31
 36-46,0,0,0,0,0.58,0,11.07,0,0,0,0.73,0,0,0,0,0.61,0,0,0,9.35,10.09,0,0.85,1.38,46.87,0,2.91,0.61,0,0,0.68,0,0,0,0,0,17.7,0,0,2.59,0,10.98
 48-58,0,0,0,0,0.39,6.79,5.13,0,4.89,0.44,8.65,0,0,0,1.12,0,0,0,1.26,3.07,10.33,0,0,1.42,19.77,0,1.9,1.83,0,0,0.95,0,0,0,0,0,0.79,0,0,3.82,0,10.01
 60-70,0,0,0,0,4.31,0,4.22,0,3.18,11.61,5.25,4.02,0,0,0,0,2.76,1.46,0,0.88,12.85,0,8.08,0,17.74,0.96,1.72,0,0,0,6.52,0,0,0,1.44,0,0,1.44,0,0.58,0,8.62
 72-82,0,0,0,0,3.38,0,7.1,0,0,2.02,10.84,0,2.07,0,4.13,0,6.5,0.89,0,0,19.91,0,0,1.93,11,0,0,0,0,0,2.53,0,0,0,0,0,4.51,0,1.81,2.18,3.18,4.78
 84-94,0,0,1.11,0,2.44,1.04,5.06,0.91,0.75,0,5.44,1.29,0,0,7.13,1.04,1,0,0,1.86,25.22,0.61,0.92,1.57,12.01,0,2.03,1.26,0,0,5.06,0,0,0,0,0,1.22,0,2.32,2.01,2.73,2.07
 96-106,0,0,0,0,1.63,7.92,0.98,0,0.7,3.4,5.8,0.83,0,0,1.05,0,0,0,0,0,20.99,0,0,0,12.54,0,0,0,0,0,2.74,0,0,0,0,0,3.11,0,0,4.87,1.42,0
108-118,0,0,0.71,0,4.32,0,15.83,0,1.88,0,15.54,1.2,0,0,2.63,1.71,0.74,0.69,0,0.66,25.96,4.11,0,0.6,27.72,0,0.88,0,0,0.76,6.67,0,0,0.61,0,0,4.42,0,0,3.38,0.7,2.02
120,0,0,0,0,2.84,0,0,0,2.23,0,3.56,10.78,0,0,1.23,0,0,0,11.04,0,16.32,0,17.45,0,6.8,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,2.71,0,1.1
