stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  5-6,98.43,0,0,0,0,0,0,0,0,6.87,0,0,6.3,0,0
  7-9,0,0,0,7.79,0,0,0,0,0,31.69,5.58,9.63,0,0,0
 10-12,0,0,0,3.39,0,0,0,0,0,24.06,4.38,8.15,0,0,0
 14-21,0,0,0.98,0,0,0,0,1.03,1.76,8.52,0,0,0,10.81,0
 24-34,0,1.56,0,0,1.57,0,0,3.76,0,9.63,0,0,0,0,0.63
 36-46,0,0,0,0,0,0,0,0,0,9.81,0,0,0,0,0
 48-58,0,1.06,0,0,0,0,0,0.72,0,10.85,0,0,0,0,0.4
 60-70,0,0,0,1.57,0,0,0,0,0,12.24,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.5,1.07,0,21.63,0,0,0,0,0
 84-94,0,1.29,0,1.32,0,0.74,0,0,0,1.85,0,0,0,0,0
 96-106,0,3.82,0,3.46,0,0,0,0.94,0,7.5,0.59,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,18.65,0,0,0,0,0
120,0,0,0,2.7,0,0,0,0,0,10.51,0,0,0,0,0
