stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,112.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.35,46.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.72,0,0,0,0,0,0,18.36,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0,0,0,88.49,5.22,0,0,24.71,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.66,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.64,24.7,0,0,60.37,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.41,0.86,11.13,2.17,0,8.47,0.87,0,1.83,1.08,2.29,0,0,0,0,0,0,0,5.91,0,0,6.26,51.14,0,0,0,0,0,3.74,3.14,0.86,1.46,4.73,12.14,0,0,0,0,1.92
 24-34,0,0,0,1.16,6.86,0.68,0,14.96,0,0,0.83,0.66,0,0,1.63,0.72,0,0,0,0,15.14,0,0,2.99,161.06,0,4.63,0,0,0,19.83,0,2.43,0,2,38.88,0,0,3.83,0,0
 36-46,0,0,0,0,3.92,0,0,35.23,0.57,2.42,25.32,0,0,2.52,0.98,0,0,0.57,0,0.61,21.59,0,0,5.38,135.15,0,0.99,0.91,0,0,29.53,0,0,0,0,33.62,0,0,9.96,0,0
 48-58,0,0,0,0,16.31,2.7,0,49.44,1.39,0.76,27,2.86,0,0,0,0.38,0,0.9,0,0,36.95,1.36,0,5.13,122.95,0,0.82,2.71,0,0,9.13,0,0,0,0,29.52,0,0,0.87,0,2.16
 60-70,0,0,0,0,5.94,0,0,96.16,0,1.21,38.87,0,0,0,0,23.55,0,1.2,1.72,0,18.64,0,0.69,0,80.27,0.87,1.31,0,0,0,16.21,0,0,0,0,14.47,0,3.56,5.11,0,1.56
 72-82,0,0,5.3,0,5.64,0.56,0,109.73,0,0,19.8,1,0,0,0.67,10.28,0,0,0,0,62.27,0,0,3.8,52.1,0.72,1.7,0,0,2.35,5,0,0,0,0,8.64,0,0,5.91,3.02,10.9
 84-94,0,0,0.56,0,9.06,0,0,85.63,0.58,0.59,16.9,9.23,0,0,4.36,0.58,1.8,0,0.63,0,41.42,0.75,0,2.71,28.16,0,1.84,1.18,0,0,20.79,0,0.7,0.78,0,0.66,0,0.77,5.63,0.57,0
 96-106,0,0,0.81,0,5.72,0,0.56,52.45,1.52,0.62,19.78,5.33,0,0,5.33,4.44,1.25,1.67,0,0,50.37,1.23,0,2,56.5,0.91,0.64,0,0,0,11.59,0,0,0,0,8.81,0,0,10.72,0.96,0
108-118,0,0,2.59,0,11.01,2.69,0.5,62.08,0,4.43,15.95,10.94,0,0,9.48,1.92,4.78,3.04,0,0,35.38,0.54,0,3.64,78,0,0.47,1.52,0,0,25.99,0,0.75,0.53,0,3.4,0.43,1.19,4.88,1.09,4.96
120,0,0,0,0,6.69,1,0,46.24,1.12,0,19.53,5.58,0,0,14.65,0,1.74,0,0,0,16.92,0,0,4.77,87.55,0,2.44,3.25,0,10.01,0,0,2.11,0,0,1.19,0,1.56,1.14,0,0
