stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.45,0,0,0,0,0,0,0,0
  5-6,31.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,11.77,0,0,11.53,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.04,0,0,0,0,0,0.91,0,0,0,0,0,0,94.34,0.88,0,0,187.12,0,0,0,0,0,0,0,1.44,0,1.68,138.51,0,0,0
 24-34,0,0,1.2,10.45,0,15.18,0,0,0,1.99,0,0,0,0.63,0,0,41.99,14.08,0,2.86,2025.76,5.86,0,0,0,0,6.56,0,0.64,8.94,0.62,796.68,3.74,0,0
 36-46,0,0,0,3.51,1.15,65.26,0,2.33,0.6,3.97,1.36,1.96,0,0,0,0,4.51,29.1,0,2.96,2252.49,0,1.33,4.08,0,0,0,1.82,0,0,0,873.23,1.8,0,0
 48-58,0,0,0,7,0.45,264.15,0,0.44,0,22.14,0.43,0,1.11,0,0,0,9.66,18.14,1.23,2.16,1305.89,0,1.5,0,0,0.39,0,0,0,0,0,363.89,4.88,0,11.26
 60-70,0,0,0,0.79,0.57,256.87,2.14,0,0,2.65,1.36,0,0,0,0,0,1.06,7.67,0.64,0,822.92,0,0,0,0,0,5.45,0,0,0,0,196.98,7.71,0,0
 72-82,0,4.45,0,2.03,1.97,246.66,0,0,0,6.96,0,0,2.95,0,0,0.79,0,3.38,0,0.73,566.93,0,0,0,0,0,0,0,0,0,0,127.76,0,0,6.91
 84-94,0,12.71,0.6,1.89,0,105.01,0,0,0,6.33,2.98,0,0,1.25,0,0,0,11.56,0,2.32,277.3,0,0,0,0,0,1.68,0,0,0,0,75.02,0,0.64,1.57
 96-106,0,12.7,0,2.04,9.9,121.91,0,0,0,8.65,5.84,0.89,0,0,0.57,0,0,8.53,0,0,227.12,0,0.66,0,0,0,0.58,0,0,0,0,31.64,0,0,0
108-118,0,3.52,0.74,3.68,4.63,180.02,0,0,0,15.6,5.38,0,0,0,5.15,0.94,8.73,8.51,0,1.04,340.56,0,1.07,0,0,0,5.85,0,0.73,0,0,7.44,0,0.97,0
120,0,7.81,0,0,0,127.97,0,0,0,13.39,12,0,3.53,0,0,0,0,17.54,9.18,0,459.69,0,0,0,0,0,2.88,0,0,0,0,36.94,0,0,0
