stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,21.74,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.43,0,0,0,0,0,0,1.44,0,0,51.43,0,0,0,0
 24-34,0,0,50.8,2.36,0.94,0,7.29,0,0,0,0.63,0,0,0,0,0,0,0,0,0,2.22,0,0,0,598.4,0,10.04,0,0,0.95,0,11.84,0,0.74,243.55,0,1.4,0,0
 36-46,0,0,42.92,4.76,0,0,11.99,0,0,0,1.7,0,0,0,0,0,0,0,0,0,2.06,0,0,0,1140.3,0,5.94,0,0,2.52,0,3.48,0,0,346.49,0,0,0,1.45
 48-58,0,0,57.39,11.26,1.4,0,113.12,0,2.39,0,14.66,0,0,0,0,0,0,0.4,5.15,1.15,8,0,0,2.9,1648.47,0,14.53,5.01,0,1.77,0,18.45,0.69,0,270.78,0,1.43,0,1.99
 60-70,0,0,26.92,11.44,0,0,245.87,0.7,0,0.73,14.01,0,0,0,5.34,0.6,0,0,0,0,7.4,0,0,1.1,1785.61,0,13.16,1.24,0,0,0,32.04,0,0,238.33,0,0,0,0
 72-82,0,0,92.2,18.55,1.23,0,438.5,0,2.81,5.77,31.3,9.52,0,1.6,0.61,0,0,0,0,0,21.86,0,0,1.2,2785.86,0,25.04,1.03,2.12,2.57,1.65,38.8,0,0,207.31,3.01,1.05,0,0
 84-94,0,0,144.38,32.01,0,0,368.51,0,0,0.87,44.47,40.11,1.22,0,0,0,0.55,3.43,0,0,6.63,0,2.36,0,1808.04,0,23.46,1.27,2.48,5.91,0,5.74,0,0,122.54,4.15,2.72,0,0
 96-106,0,0,136.42,14.43,1.95,1.52,437.38,0,1.58,1.62,41.77,54.2,0,0,0,0,2.06,2.77,10.66,0,16.21,0,0,0,1902.75,3,40.76,3.53,5.83,11.11,16.16,43.48,0,0,102,11.69,10.4,1.86,2.71
108-118,0,0,141.45,15.94,3.45,0,334.47,3.96,0.43,0.73,47.51,17.85,0,0,1.44,0,0,4.19,0,0,16.9,0.49,0,0.51,1987.09,0,26.75,5.22,0,19.27,0,26.75,0,0,61.64,12.72,0,0,4.35
120,0,0,52.87,84.02,1.9,0,460.47,0,0,0,47.45,29.98,0,4.47,3.59,0,0,0,0,1.79,52.71,0,17.45,3.62,3547.21,12.44,13.54,0,0,2.58,4.99,25.22,0,0,137.71,12.54,0,0,0
