stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.97,0,10.62,0,0,0,0,0
 14-21,1.07,0,0,0,0,0,0,0,0,1.63,0,0.84,0,0,0.89,1.32,0,1.5,0
 24-34,0,0,2,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0.8,0.84,0
 36-46,0.63,3.22,1.38,0,0,1.32,0,0,0,4.02,0,9.38,0,0,0,0,0,0,0
 48-58,2.15,0,2.01,0,1.34,0,0,0.38,0.42,4.1,0.44,5.61,0,0,0,0,7.2,0,0
 60-70,0.6,0,3.85,0,0,0,0,0,0,5.45,0,13.06,0,0,0,0,1.15,1.17,0
 72-82,0.77,0,0,0,0,3.67,0,0,0,12.15,0,2.47,0,0,0,0,0,0,0
 84-94,0,0,0.93,1.77,0,0,0,0,0,7.33,1.54,0,0,0,0,0,0,0,0
 96-106,0,1.86,0,0,0,0,2.9,0,0,4.11,0,3.19,0,0,0,0,0,0,0
108-118,0.79,0,2.46,0,0,0,1.05,0,0,2.75,0,0,0.61,0,0,0,0,0,1.93
120,3.21,0,0,0,1.49,0,0,2.73,0,2.03,0,3.16,0,0,0,0,0,0,0
