stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,9.8,0,3.76,0,6.94,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,20.81,0,9.63,0,0,0,0,0
 14-21,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0
 24-34,0,0,0,0,0,0,0,0,0,8.44,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.88,0,0,2.41,0,0,0,0,0,0,0,0,1.34
 48-58,0,0,0.55,0,0.5,0,0,1.5,0,8.63,0,0,0.43,0,0,0,1.36
 60-70,0,0,0,0,0.93,0,0,1.81,0,5.96,0,0,0,0,3.99,0,0
 72-82,0,0,0.51,1.55,0,0,0.5,1.79,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.51,0.68,4.45,0,0,0,0,0,0,0
 96-106,0.66,0,0,0,0,0,0,1.13,0,9.12,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.78,0,0,0,1.84,0.71,0,0,0,0,0,0
120,0,0,0,0,0,8.94,0,2.05,0,0,0,0,1.5,0,0,0,0
