stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.78,160.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.48,59.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.13,0,17.61,0,0,0,57.36,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,812.87,24.66,0,0,47.17,0,0,0,6.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,145.04,1.95,0,1256.66,0,0,0,3.45,0.85,0,0,0,1.04,0,0,0,16.5,0,0,0,423.21,3.97,0,1.14,0.83,0,1.56,8.29,1.27,0,14.53,30.16,0,0,0,0,0
 24-34,0,0,0,0,10.48,0,0,1147.81,0,2.64,0.7,5.17,0,0,0,0,0,0,0,2.47,4.88,0,0,0,229.74,0,0.65,34.06,0,0,3.53,0,0,0,5.53,22.8,0,0,0,0,0.89
 36-46,0,0,0,0,0.64,0,0,1777.12,0,0,0,2.15,0,0,0.84,0.65,0,0,0,0,36.63,0,0,0,205.99,0.96,0.87,39.72,0,0,1.69,0,0,7.75,0,13.29,0,0,0,0,0
 48-58,0,0,0,0,9.42,0,0,2257.39,0,0,0,26.51,0,0,0,0,0,0,0,0,68.46,0.42,0,5.36,211.48,0,0,49.81,0,0,2.47,0,0,0,0,35.81,0,0.42,0,0,0
 60-70,0,0,0,0,6.71,0,0,2958.07,0,1.49,0,37.61,0,0,0,0,0,0,0,0,101.17,0,0,0,132.73,0,1.8,24.15,0,0,0.63,0,0,0,0,4.45,0,0,0,0,0
 72-82,0,0,0,0,6.86,1.24,0,2438.9,0,6.18,1.48,76.42,0.56,0,0,0,0,0,0,0,159.35,0,1.55,0,108.08,1.78,2.47,28.65,0,0,0.51,0,0,0,0,3.52,0,0,1.11,0.52,1.33
 84-94,0,0,0.66,0,5.53,10.47,0,1759.53,0,0,2.26,59.49,0,0,0,0,0,2.04,0,0,152.4,0,2.24,0,78.95,0,0.7,54.24,0,0,0.61,0,0.73,0,0,8.92,0,3.32,1.3,2.65,0
 96-106,0,0,0,0,11.85,0.85,0,1524.04,0,2.32,0,72.65,1.53,0,1,1.43,0,0,0,9.56,146.82,0,0,2.15,111.78,0,3.96,75.71,0,5.34,2.89,0,0,0,0,2.6,0.67,1.71,10.71,0,8.09
108-118,0,0,0,0,16.61,0,1.17,1519.21,0,0.43,0,67.07,0,0,0,0,0,0,0,2.23,164.33,0,0,0,119.27,0,0.45,82.27,0,0,1.54,0,0.84,0,0,5.86,0,0,1.16,0,0
120,0,0,0,0,23.4,0,0,1227.6,10.57,0,0,114.78,0,0,0,2.88,0,0,2.19,3.79,164.19,0,0,0,133.65,0,0,35.2,0,0,3.87,0,0,0,0,0,0,5.29,0,0,0
