stage,eye,glial,mesenchyme,muscle,neural,otic,spinal_cord
 14-21,0,0,0,0,1.27,0,0.85
 24-34,0.82,0,0,0,2.13,0,0
 36-46,0,1.89,0,0,9.11,0,0
 48-58,1.81,0,0,0,1.01,0,1.68
 60-70,0,0,4.03,0,4.89,11.93,0
 72-82,6.52,0,1.2,0,0.56,0,3.29
 84-94,0,0,0,0.91,0,0,0
 96-106,0,0,2.97,1.2,8.79,0,0
108-118,2.67,0,0,0,0.73,0,0
