stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,88.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83,0,8.78,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,0,0,0,9.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.27,3.15,0,0,49.82,0,0,3.96,0,0,0,0,0,0,0
 14-21,0,1.72,0,0.82,0,0,0,0.95,0,0,0,0,0,0,3.78,0,0,0,39.07,0,0,15.66,0,0,1.01,0,0,1.01,68.45,0,0,0.83,0
 24-34,0,0.64,0,26.87,0,0,0,4.25,0,0,0,0,0,0,5.82,0,0,2.16,107.72,0,0,2.24,0,0,0.8,0,0,0,42.36,0,0,4.52,0
 36-46,0,0,0,394.95,1.51,0,0,56.11,0,0,0,0,16.86,0,6.19,0,0,1.68,128.96,4.69,0,0,0,0,1.46,0,0,0,55.8,0,0,9.84,0
 48-58,0,0.38,1.97,1116.77,2.51,0,0.43,113.98,1.53,2.4,0,0,0,0.6,16.33,0,0,0,285.8,6.04,0,0,0,0.56,0,0,0,0,79.37,0,0,9.07,0
 60-70,0,6.56,0,1277.19,0.68,0,0,180.64,0,0,1.01,0,0,8.1,11.24,0,0.67,1.31,194.62,0,0.72,0,0,0,6.71,0,0,0,84.42,0,0,1.26,0
 72-82,0,1.54,0.71,787.44,0.55,0,0,188.37,0,0,0,0,0,0,11.39,0,0,0.54,97.84,0.53,0,0.5,0,0.87,1.71,0,1.81,0,16.59,0,1.32,11.21,0
 84-94,0,3.13,0,352.55,0,0,1.1,148.09,0,0,0,0,0,0,22.65,0,0.85,0,54.85,0,0,0.67,0,0,0.58,0,0,0,21.9,0,1.64,0,0
 96-106,0,3.65,0,334.9,0,0,0,165.9,0,0,0,0.81,1.2,4.07,18.07,1.95,0,0.65,75.06,1.23,3.21,0,0,2.84,10.28,0,0,0,1.3,0.88,0,0,3.46
108-118,0,0,0,359.09,0,0,0,166.91,0,0,0,0.81,0.65,0,17.96,0,1.84,0,51.42,1.05,0,0,0,0,0,0,0,0,2.21,0,0,0,6.32
120,0,0,3.56,330.02,1.72,2,0,192.96,0,0,4.06,0,0,0,22.05,0,0,3.13,44.1,0,0,0,0,0,0,0,0,0,10.07,0,0,0,0
