stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,216.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.43,0,0,0,0,0,0,0,0,0,0
  5-6,0,356.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.19,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.03,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,0,0,0,0,53.73,0,0,0,17.67,0,6.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,65.73,0,0,0,8.28,0,0,0,0,0,78.24,0,0,0,0,0,0,0,0,0,0,0,42.36,17.35,0,0,10.76,0,0,3.96,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.83,244.9,2.36,0,2.18,0,0,0,1.34,3.96,46.13,97.48,2.35,80.52,0,0,0,0,364.83,8.5,0,86.69,80.27,0,0,0,31.87,0,4.21,6.44,0.84,40.63,38.22,15.65,0,0,0,0,0
 24-34,0.88,0,2.01,9.25,931.04,3.76,0,3.45,0,7.61,0,4.28,3.64,3.25,145.45,11.65,126.64,0.7,0,14.33,1.11,332.36,12.75,6.84,63.05,103.45,0,4.51,1.21,0,4.72,11.94,0.97,0,4.18,5.05,25.86,0,0,1.49,0,0
 36-46,0,0,0,1.08,944.98,1.35,0,13.11,0,38.81,0,4.07,0.72,0,71.8,0.67,81.45,0,1.5,1.74,0,480.43,6.73,39.46,48.19,142.31,0,0.87,23.7,0,22,16.01,8.67,0,0,2.35,31.04,0,11.92,4.4,0,7.54
 48-58,0,0,0,0.94,1348.96,4.26,0,24.96,1.93,26.48,4.62,14.68,0.56,2.65,42.65,6.26,41.31,3.3,0.5,5.9,3.55,814.13,4.84,72.9,56.11,140.29,0,3.07,42.62,0,17.61,8.93,0,0,0,0.55,25.38,0,14.22,0.45,0.72,0
 60-70,0,0,13.16,1.19,1557.62,2.04,0,37.59,65.89,40.71,4.66,25.82,72.39,0,15.17,4.16,27.63,0,1.49,45.68,0,1374.53,12.47,157.52,97.19,111.25,1.36,1.02,36.7,0,14.85,5.13,0,0,0,0,19.24,20.06,89.84,4.99,98.4,0
 72-82,0,0,82.41,1.49,1453.69,8.13,0,143.1,84.06,33.56,17.49,46.06,623.43,1.11,20.51,9.25,101.83,4.09,4.03,21.78,0,1707.07,20.97,159.36,85.05,366.43,4.45,10.23,26.94,0,26.5,14.43,0,0,5.92,0,22.24,114.08,105.72,6.07,302.19,7.8
 84-94,3.08,0,119.2,1,2882.11,37.23,0,199.55,97.85,56.65,56.76,28.68,1367.38,0,37.49,33.57,145.7,2.9,0,13.45,0,1553.31,16.48,223.12,80.22,289.62,0,2.1,35.87,0,6.11,29.41,0,0.7,1.43,0,23.11,319.28,122.42,9.54,340.5,6.92
 96-106,1.12,0,148.53,0,3273.29,45.97,43.68,145.69,102.52,65.63,14.47,180.76,2450.72,0,23.62,32.29,172.38,3.81,11.16,67.89,0,1164.93,28.73,139.01,76.54,575.11,0,12.58,50.74,0,23.09,35.41,0,1.24,0,0,10.53,407.64,65.81,14.16,427.64,20.28
108-118,1.67,0,96.1,0,3045.9,6.63,7.28,136.9,46.2,49.65,9.53,96.77,2724.24,0,15.84,15.64,132.89,1.34,1.47,45.5,0,992.6,54.64,136.57,31.47,652.78,3.99,11.22,36.81,0,18.68,31.83,0,15.09,0.41,0,2.99,426,53.45,11.89,297.21,10.24
120,1.12,0,139.91,0,2127.33,37.02,13,178.97,60.39,37.58,19.19,39,1251.02,0,7.53,43.42,61.62,0,4.38,20.72,0,846.44,51.76,84.89,25.05,598.73,6.35,1.29,23.47,0,9.74,6.07,0,4.25,0,0,4.65,124.02,44.87,58.77,275.67,7.34
