stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1693.7,6833.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
  5-6,5692.22,10476.24,0,174.8,0,0,0,0,0,0,0,0,2155.13,0,0,0,0,0,0,0,0,0,0,2594.67,0,0,0,466.32,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,1111.43,106.46,0,727.44,0,0,0,35.41,0,0,0,0,5561.13,0,0,0,0,0,0,0,0,0,0,2036.76,638.18,0,0,2926.38,0,6.15,96.7,0,0,0,0,0,0,0,0,0,0
 10-12,22.26,188.05,0,1014.27,0,5.32,0,81.08,0,0,0,0,568.45,0,0,0,0,0,0,0,0,0,0,4345.46,327.26,0,0,3361.97,0,0,12.26,0,364.6,0,9.11,17.33,0,0,0,0,0
 14-21,0,0,0,6.66,1045.38,0,0,136.08,116.19,0,13.63,17.93,0,0,0,0,0,5.18,0,72.76,3.57,0,60.89,881.97,143.68,0,59.9,88.06,0,6.29,0,737.2,2.28,3.48,48.9,420.77,0,0,0,0,0
 24-34,0,0,0,3.72,421.67,0,0,108.77,542.31,0,2.03,5.57,1.11,0,0,0,0,28.22,1.61,41.27,4.94,0,8.25,119.06,11.23,1.18,90.56,0,0,3.29,0,0,0,0,4.46,31.75,0,0,0,0,0
 36-46,0,0,0,0,174.2,1.7,0,60.49,205.48,1.17,0.77,12.86,0,1.78,0,0,0,13.89,9.46,74.14,7.71,28.38,5.78,136.7,13.72,1.75,26.95,0,0,15.42,0,0,0,0,0,49.74,0,0,0,0,0
 48-58,0,0,0,0,67.52,0,0,69.43,150.61,13.77,22.05,7.55,0,0.38,0,0,0,7,1.59,195.22,0,3.2,5.61,244.01,2.24,0,35.76,0,0,0,0,0,0,0,0,16.98,0,2.56,0.46,0,5.75
 60-70,0,0,0,0,57.5,0,0,69.62,211.75,8.62,0,0.58,0,0,5.77,0,0,4.41,0,138.68,0,52.02,1.17,186.66,29.23,1.22,1.38,0,0,2.2,0,0,0,0,0,4.51,10.92,2.97,0,0,0
 72-82,0,0,0.71,0,12.74,0,0,66.72,234.2,55.85,6.56,4.23,0,0,0,0,0,1.74,0,81.88,0,28.82,1.73,180.42,0,0,4.05,0,0,5.94,0,0,0,0,0,16.46,3.89,9.75,2.32,0,0
 84-94,0,0,0,0,93.71,6.61,0,96.88,397.98,31.86,8.86,26.42,0,3.2,1.96,6.17,1.54,3.16,0,83.12,0,34.35,2.03,124.02,0,0,0,0,0,7.73,0,0,0,0,0,9.72,11.16,5.62,1.75,7.09,4.85
 96-106,0,0,0.81,0,50.63,0,0,145.98,542.01,53.47,22.16,0.91,0,0,0,2.56,0,8.64,0,87.02,6.25,31.19,0,108.66,0,0,0.71,0,0,0,0,0,0,0,0,2.75,15.22,11.98,2.32,10.77,0.89
108-118,0,0,0,0,61.21,0,0,79.21,714.42,28.63,11.12,1.65,0,0,0.91,1.57,13.28,1.17,0.58,93.65,2.25,33.7,0,248.01,0,1.8,2.72,0,3.08,2.73,0,0,0.84,0,0,3.3,10.71,14.29,5.73,4.34,0
120,0,0,0,0,144.25,0,1.89,189.29,738.16,4.8,59.88,0,0,0,0,0,0,0,8.85,78.62,3.39,34.89,0,266.25,0,0,0,0,0,2.08,0,0,0,0,0,0,10.92,0,25.04,0,0
