stage,blastomeres,epidermis,erythrocytes,eye,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,pronephros,xanthophores
  5-6,30.09,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.28,0,0,3.84,0,0,42.02,0,18.07,0,0,0
 10-12,0,0,5.31,9.88,0,0,48.19,0,9.83,0,0,0
 14-21,0,0,1.14,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.99,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.14,0,0,0,0.61
 48-58,0,1.05,0,0,1.37,0,0,0,0,0,0,0
 60-70,0,2.31,0,0,0,0,0,0,0,0,0,0
 72-82,0,4.82,0,0,0,0,0,0,0,0.61,0,0
 84-94,0,0,0,0,0,0.97,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.06,0
