stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste
  5-6,7.99,109.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.3,0,14.7,0,0,11.18,0,0,82.53,12.98,0,0,30.74,0,0,0,0,0
 10-12,0,0,4.54,0,3.4,0,0,0,0,0,18.39,0,0,0,39.24,0,0,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,0,0,3.01,0,0,0,0,0,0.96,0,2.66,0
 24-34,0,0,0.6,0,0,0,0,0,0,1.31,3.49,0,0,0,0,9.37,0,1.77,0,0
 36-46,0,0,0,0,0.74,0.86,0,0,0,0,0.87,0,0,0,0,1.99,0,0,0,0
 48-58,0,0,0,0,3.64,0,0,0,0,0,2.23,0,0,0,0,6.26,0,1.35,1.14,0
 60-70,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52,0
 72-82,0,0,0,0.56,0,0.79,0,0,0,1,2.24,0,3.1,0,0,0.57,0,0,4.12,0
 84-94,0,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.92,0,2.16,0,0,0,0,0.56,0,0,0,0,6.03,0,0,0,0.56
108-118,0,0,0.74,0.67,0,0,0.7,0,0,0,1.65,0,0,0.45,0,1.3,0,0,0,0
120,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,6.79,0,0,0,0
