stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  5-6,10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.76,10.19,0,0,0,0
 10-12,0,0,0,3.77,0,0,0,0,0,95.08,0,0,0,0,0
 14-21,0,0,0.82,0,0,0,0,0,0,86.53,0,0,1.77,0.97,3.18
 24-34,0,9.8,0,4.54,0,0,0,0,0,427.76,0,0.73,0,28.04,22.46
 36-46,0,0,0,2.57,0,17.73,0,0,0.69,240.65,0,0,0,21.41,24.51
 48-58,0,0,0,1.01,0,20.58,0,0.53,0,47.33,0,0,0,6.73,18
 60-70,0,0,0,0,0.86,26.75,0,1.53,0,14.13,0,0,0,1.18,1.46
 72-82,0,0,0,0,0,51.45,0,0,0,12.98,0,0,0,0,4.19
 84-94,0,0,0,0,0,26.78,0,0,0,4.9,0,0,0,0,3.33
 96-106,0,1.92,0,5.43,0,69.58,0,1.64,0,6.76,0,0,0,0,3.26
108-118,0,0,0,4.97,0,81.64,0.55,0,0,14.82,0,0,0,0,6.34
120,0,0,0,3.76,0,106.07,0,4.14,0,30.88,0,0,0,0,19.02
