stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,26.34,0,0,0,0,0,0,0,0,0
 14-21,2.34,4.84,1.93,0,0,0,0,0,0,0,0,0,0,4.1,0,1.4,21.09,0,0,0,1.84,0,0,3.75,0,13.66,9.35,0,0,0
 24-34,0,1.98,0,1.47,0,0,0.78,0,0,0,0.81,0,1.36,0,0,0,18.42,0.7,0.96,0.73,0,0,1.54,0,0,6.78,9.89,0,0,0.92
 36-46,0,0,0,1.15,0,0,0,0,0,0,0,0,0,2.62,0,0,23.3,5.13,0,0,0,0,0,0,26.27,0,6.18,0,0,0
 48-58,0,0.39,0,9.76,0.58,0,3.95,0,0,0,0,0,0,3.23,0,0,32.6,0,0,1.16,0,0,0,0,0,0,3.96,0,0,0
 60-70,0,0,0,30.31,0,0,4.32,0,0,0,0,0,0,1.63,0,0,11.33,0,0,0.65,0,0,0,0,3.99,0,6.35,0,0,0
 72-82,0,0,0,13.05,0,2.44,0.77,0,0,0,0,0,0,10.67,0,0.92,15.96,0.66,0,0,0,0,0,0,0,0,8.94,0,0,0
 84-94,0,0,0.93,16.56,0,1.55,10.77,0,0.64,0,0,0,0,9.39,0,0,22.33,0,0,0,0,0,0,0,0,0,3.82,0,0,0
 96-106,0,0,0,10.55,0,0,0,2.69,0,0.9,0,1.07,0,4.37,0,0,23.71,0,0.61,0.65,0,0,1.21,0,0.7,0,0,0,0,0
108-118,0,2.43,0,37.45,0,0,3.55,1.44,0,1.07,2.73,0.65,0,21.39,2.1,0,32.35,0,0,0,0,0,0,0,0,0,0,0,3.84,0
120,0,1.06,0,9.35,0,2.39,0,3.85,0,0,0,1.07,0,0,0,0,77.96,0,0,0,0,13.5,0,0,2.61,0,15.15,1.99,0,0
