stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,33.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,6.58,4.68,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.27,0,0.92,0,1.09,0,0,0,2.99,0,0,0,0,0,5.88,1.29,0,0,1.45,1.56,0,6.85,0,0,0
 24-34,0,0,0.76,2.09,0,7.57,0,1.51,0,0,0,2.12,0,0,0.73,0,0.73,16,0,0,0.62,6.97,0.8,1.02,7.94,0,1.04,0
 36-46,0,0,0,0.63,0,22.55,0,0.95,0,0,0,0.74,0,0,2.73,2.53,0.98,8.55,0,0,0,17.91,3.99,0,15,0,1.04,0
 48-58,0,0,0,2.41,0,25.27,3.49,0.94,0.58,0,0.49,0,3.43,0,0.56,2.62,0.6,23.34,0,0.5,0,3.98,0,0,4.61,0,3.14,0
 60-70,0,0,0,17.39,0,131.83,3.17,3.92,2.69,4,1.42,0,1.91,2.6,1.24,1.86,0,31.39,0,0,0,8.5,0,0,3.66,0,0.72,7.45
 72-82,0,0,0,3.53,0,81.44,0,7.18,0,0,1.22,0,4.15,1.44,0,5.25,0,32.44,0,0,0,6.88,0,0,0,0,12.62,1.68
 84-94,0,0,0,0.67,0,64.83,1.42,0.62,1.68,0,1.77,3.56,0,0,0,4.84,0,12.22,0,0,0,18,1.26,0,4.03,0,4.02,0
 96-106,0,0.81,0,4.69,0.6,65.39,0,3.49,0.59,0,1.61,1.18,2.03,0,0,13.15,0,27.7,0,0,0.84,3.92,0.89,0,0,0,14.43,4.81
108-118,0,0,0.74,0.91,0,52.97,4.72,2.6,3.06,0,0.74,0,0.87,0,5.64,7.97,0,19.17,0,0,0.55,0,0,0,2.65,0.71,1.12,0
120,0,0,0,14.99,0,49.63,0,0,0,0,0,4.04,0,0,0,14.92,0,21.74,0,0,0,0,0,0,0,0,1.96,0
