stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1268.57,21659.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.88,0,0,0,0,0,0,0,0,0,0,0
  5-6,2190.12,31583.74,0,61.11,0,0,0,0,0,0,0,69.57,0,0,0,0,0,0,0,0,0,0,0,825.46,68.81,0,0,195.29,0,500.99,0,0,0,0,0,0,0,0,0,0,0
  7-9,282.76,559.04,0,606.03,0,5.98,1419.57,0,0,0,0,343.9,0,0,0,0,0,0,0,0,0,0,0,12345.43,396.71,0,0,3511.5,0,18.54,180.15,0,12.83,0,0,0,0,0,0,0,0
 10-12,0,149.5,0,359.14,0,62.01,753.08,0,0,0,0,28.52,0,0,0,0,0,11.2,0,0,0,0,0,5927.98,102.47,0,0,1669.95,0,4.8,116.28,4.56,143.1,0,4.51,20.12,0,0,0,0,0
 14-21,0,0,0,3.67,50.31,34.05,66.85,0,0,16.01,2.88,1.97,1.23,0,0,0,0,1.76,0,55.72,0.9,0,40.99,777.81,13.37,1.09,8.13,11.76,0,12.13,9.84,84.24,1.94,0,58.02,204.01,0,0,16.32,0,0
 24-34,0,0,0.62,3.58,23.14,3.26,98.3,0,0,19.17,1.8,1.14,7.01,7.67,5.94,5.22,1.79,2.57,0.6,82.71,1.34,0.89,34.8,1049.61,3.45,11.6,6.34,0,0,27.51,1.29,0,1.79,0,7.87,191.13,0,0,45.78,0,0
 36-46,0,0,0,0,7.49,0.81,145.83,0,3.06,43.05,3.49,0,0,4.49,0,0,0,0,0.67,67.68,0,1.45,17.75,847.83,0,12.53,9.05,0,0,21.85,0,0,3.2,0,0,178.43,0,0,15.62,0,0
 48-58,0,0,0,0.6,15.61,6.35,212.24,0.83,2.71,57.51,0,0.86,1.13,0,0,0.85,1.11,1.42,5.26,81.83,0.96,2.02,8.35,621.69,0.97,5.6,0.69,0,0.46,8.13,0,0,0.42,2.34,0,142.6,0,0.64,22.88,0,5.62
 60-70,0,0,0.62,0,30.52,4.7,261.96,15.21,0,55.36,4.18,0,2.85,0.86,0.6,0,0.71,5.03,0,74.62,0.84,0,10.37,510.53,2.85,14.49,3.32,0,2.07,4.74,0,0,0.85,0,0,85.37,0,0,18.03,0,0
 72-82,0,0,0,0,6.44,0,266.7,0,2.23,52.71,3.3,0,2.17,2.17,0,10.61,2.37,7.06,1.89,115.17,0.52,3.54,7.78,355.86,1.26,8.14,1.85,0,6.2,8.75,0,0,0,0,0,58.82,0,3.72,18.45,1.09,0
 84-94,0,0,0,0,11.63,15.12,121.56,5.88,0,20.78,5.96,0,0,4.44,1.18,5.08,5.48,0.68,0,55.69,0,9.29,16.28,195.74,0,3.86,4.42,0,7.92,42.06,0,0,5.29,0,0,33.1,0.55,2.34,8.59,8.36,0
 96-106,0,0,0,0,8.12,16.98,131.48,0,2.03,31.5,2.98,0,3.51,6,1.37,3.6,0.94,12.09,0,46.34,0,1.73,5.38,140.88,0,6.25,8.88,0,2.61,21.53,0,0,0.63,0,0,4.46,0.83,2.34,12.32,0,10.5
108-118,0,0,0.98,0.74,11.51,2.88,85.49,0.71,0.98,36.72,2.26,0,2.31,4.89,0.95,3.57,3.06,5.45,2.45,51.79,0,8.64,2.11,218.01,0,4.14,3.85,0,0.87,27.65,0,0,0,0.43,0,6.28,0,0,11.53,1.59,6.69
120,0,0,0,0,21.8,17.58,45.13,0,4.19,25.01,8.06,0,0,17.09,1.07,0,0,6.47,0,35.9,0,0,3.66,207.32,5.5,4,2.34,0,4.48,12.25,0,0,0,0,0,5.35,0,3.84,11.36,0,10.98
