stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,40.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.11,0,5.05,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,56.77,0,0,0,40.6,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,16.31,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,126.62,0,0,0,28.31,0,4.8,0,8.34,0,0,0
 14-21,0,0,0,14.12,16.84,3.79,0,0,0,0,2.1,0,0,0,0,0,0,7.97,0,0,4.88,98.39,0,0,0,1.56,0,0,10.34,0.87,18.74,17.57,0
 24-34,0,0,0,3.74,0,9.85,0,0.73,0,2.76,0,0,0,0,0,0,0,7.59,0,0,2.25,94.05,0,0.96,4.93,0,2.17,0,0,1.45,1.71,8,0
 36-46,0,0,0,1.41,1.2,10.69,1.51,0,0.75,1.7,0,0,0,0,3.81,0,0,8.02,0,0,1.61,50.98,0.66,0,0.59,0,1.14,0,0,0,0,13.18,1.71
 48-58,0,0,0,1.08,0,9.14,0.51,0,0,2.81,2.83,0,0,0,0.53,1.59,0.56,4.71,0,0,0.77,42.32,0,1.23,1.24,0,0.97,0,0,0,0,4.43,2.18
 60-70,0,0,0,2.01,0,10.14,0.89,0,0,3.84,0,0,0,0,0,0,0,4.24,0,0,1.27,31.57,0,1.62,0,0,0,0,0,0,0,5.64,0
 72-82,0,0,0,0.62,0,10.13,0,0,0,2.89,0,0,0,0.79,2.44,0,0,4.8,0,0,0.59,53.89,0,4.74,0,0,1.02,0,0,0,0,1.31,2.18
 84-94,0,0,0,1.4,0,0.56,0,0.62,0,2.44,0,0.91,0,0,1.05,0,0,4.07,0.86,0,0.66,14.81,0,0,2.58,0,1.12,0,0,0,0,0,0.84
 96-106,0,0,0,0.79,10.42,11.26,0.93,0,0,1.68,2.24,0,0,0,0.59,0,0,8.42,0,0.67,0,6.07,0,0,0,0,2.95,0,0,0,0,0,0
108-118,0,0,0,4.45,2.24,4.94,0,1.28,0,3.27,0,0,0.83,0,1.24,0,0,2.87,0,0,3.78,23.73,0,1.61,0,0,0,0.79,0,0,0,0,1.69
120,0,0,0,8.43,1,6.06,0,0,0,2.43,0,0,0,0,0,0,0,6.04,0,10.85,1.09,3.62,0,0,0,0,3.01,0,0,0,0,0,0
