stage,axial,blastomeres,eye,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,10.58,14.33,0,0,0,0,0
  5-6,0,33.41,0,0,0,0,0
  7-9,0,0,0,57.82,3.97,5.09,0
 10-12,0,0,5.49,47.64,12.85,0,3.28
