stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,137.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,14,364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,122.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,27.08,10.69,0,6.85,0,0,41.62,0,0,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,0,378.58,0,0,0,56.16,7.04,15.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.95,0,35.08,0,0,70.97,0,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,566.77,29.62,0,0,331.07,0,5.47,0,11.01,0,22.83,0,0,0,0,0,0
 14-21,0,0,1.69,4.59,69.1,2.05,9.5,0,0,0,4.37,0.99,0,8.01,0,0,0,0,0,3.7,8.79,0,0,46.21,180.85,5.6,1.86,0.96,4.7,22.05,0.91,91.02,0.86,319.47,1454.98,61.03,0,0,1.02,0,0.87
 24-34,0,0,0.66,0.82,18.86,0.86,16.23,35.41,2.22,0.72,8.14,1.74,0,3.73,1.36,0.6,0,6.76,1.14,10.62,17.88,0,0,72.37,363.31,2.41,5.27,0.77,0,5.47,0,2.92,0,100.62,422.86,81.6,0,0,7.06,0,15.95
 36-46,0,0,0,0,7.45,0,16,90.77,0,0,14.86,0.66,0,27.09,0,0,0,1.25,0.83,3.1,4.83,0,0,53.96,223.11,0.57,0,1.19,0,3.66,0,0,0.59,123.09,20.86,55.02,0,0,0.57,0,3.2
 48-58,0,0,0,0,2.55,0.44,15.43,24.53,0,1.73,6.39,0,0,2.23,0,0,0,0.45,3.35,9.27,3.1,0.55,0,43.16,106.05,0.52,0,0,0,7.32,0,0,0,36.86,0.83,18.1,0,0.37,0,0,0
 60-70,0,0,0,0,3.14,0,66.94,42.78,0.87,0.83,8.45,0,0,5.93,0,0,1.86,0,0,10.13,2.49,0,0,26.16,37.67,0,0.89,0.62,0,12.38,0,0,0,34.73,0,3.94,0,0,0.58,0,3.59
 72-82,0,0,0,0,2.62,0,42.67,29.03,0,0,11.45,0,0,2.48,0,0,2.79,0.51,0,1.18,13.5,0,0,26.8,24.9,0,0,0,0,11.97,0,0,0,2.91,0,0,0,0,16.58,0,2.17
 84-94,0,0,0,1,1.84,0,53.2,38.3,0,0,1.92,0,0,2.15,0,0.66,0,0,1.64,8.99,9.59,0,1.29,23.11,51.52,0,0,0,0,45.45,0,0,0,26.46,0,0,1.06,0,5.6,0,0
 96-106,0,0,0,0,2.16,1.25,48.55,85.99,0,0,5.86,0,0,4.59,0,0.86,0,1.29,10.96,1.43,26.78,1.75,0,42.47,59.6,0,2.72,0,0,33.01,0,0,0,31.94,0,0,0,2.5,10.87,6.14,13.44
108-118,0,0,0,0,1.96,1.32,38.61,142.04,0.5,0,17.62,0,0,4.45,0.62,2.33,7.74,0.51,3.36,2.75,19.24,0,1.5,77.68,65.92,0,0,0.51,0,10.84,0,0,0,25.7,0,1.9,0.84,0,0,0.77,0
120,0,0,0,0,1.08,1.84,50.94,193.07,5.79,0,3.22,0,0,1.15,0,0,0,0,5.61,0,2.69,0,0,62.88,72.68,0,17.09,0,0,4.41,0,0,0,12.7,0,0,0,0,0,0,7.59
