stage,axial,blastomeres,erythrocytes,eye,immune,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,27.65,0,0,0,0,0,0,0,0,0,0
  7-9,3.97,0,0,0,0,0,0,0,30.12,3.7,0,0
 10-12,0,0,0,3.39,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.49,1.2
 24-34,0,0,0,1.19,0,0,0,0,0.75,0,0.92,0.99
 36-46,0,0,0,0,0,0.57,0,0,0.7,0,0,0
 48-58,0,0,0,0.37,0,0,0,0,0.44,0,0,0
 60-70,0,0,0.7,0,0,0,0,6.46,0,0,0,0
 72-82,0,0,0,0,0,0,0.88,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.05,0
120,0,0,11.34,0,1.29,0,0,0,0,0,0,0
