stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,7413.01,68930.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552.51,0,0,0,0,0,0,0
  5-6,11980.69,74843.98,0,134.01,0,0,0,0,0,0,581.94,0,0,0,0,11090.22,308.87,0,0,845.63,2190.9,0,0,0,0,0,0,0
  7-9,1488.74,373.77,0,1552.87,0,0,182.27,0,0,0,1968.35,0,0,0,0,8118.22,829.2,0,0,4397.67,102.82,9509.74,0,0,0,0,0,0
 10-12,0,198.5,0,41.56,0,0,47.01,0,0,0,83.25,0,0,0,0,903.4,42.72,0,0,122.83,0,5206.77,0,67.07,0,0,0,0
 14-21,0,0,0,0,9.93,12.4,11.17,0,1.08,0,5.6,3.42,2.09,6.11,1.44,262.1,9.85,0,14.21,3.79,1.87,519.18,30.67,0,2.62,25.59,0,0
 24-34,0,0,0,0,11.02,0.74,7.98,2.33,0.75,1.73,0,3.85,0,3.48,1.22,91.61,0,1.59,0,0,7.9,28.79,0,0.69,0,10.97,0,0
 36-46,0,0,0,0,1.24,0,1.56,0,0,0,0,0.68,0,0,0.73,114.86,0,0,0,0,7.82,99.63,0,0,0,0,0,0
 48-58,0,0,0,0,0.5,0,0.51,0,2.07,0.61,0,0.92,0,0.86,0,20.13,0,0,3.36,0,0.76,14.71,0,0,0,0.55,0,2.74
 60-70,0,0,0,0,16.33,0,12.11,0,0,0,0,0,0,0.84,0,30.24,0,0,0,0,0.67,9.6,0,0,0,0,0,0
 72-82,0,0,0.71,0,0,0,11.47,0,1.93,0,0,0,0,1.56,0,25.76,0,0,0,0,1.75,4.52,0,0,0,0,0.8,0
 84-94,0,0,0,0,1.32,0,6.86,0,9.57,0,0,1.1,0,4.02,0,9.93,0,0,0,0,9.58,0,0,0,0,0,4.99,0
 96-106,0,0,0,0,12.62,0,0,0,0,0,0,0,0,3.15,0,0,0.61,0.59,0,0,0.67,43.51,0,0,0,0,0,0
108-118,0,0,0.89,11.77,3.99,0,5.1,0,0,2.6,0,0,0,2.47,0,3.23,0,0,3.07,0,1.72,28.21,0,0,0,0,1.3,0
120,0,0,0,0,0,0,2.65,0,0,0,0,0,0,0,0,8.9,0,0,5.96,0,0,27.59,0,0,0,0,0,0
