stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,neural,spinal_cord,taste
  7-9,0,0,6.02,0,0,0,0,0,3.83,0,0
 10-12,0,0,0,0,0,0,0,0,4.45,0,0
 14-21,1.24,0,0,0,0,0,0,0,0.81,0,0
 24-34,0,0,0,0.79,0,0,1.13,0,1.5,1.21,0
 36-46,4.36,0,0.78,0.62,0,0,0,0,0.73,1.18,0
 48-58,0.68,0,0.99,0,0.81,0,0,0,0.95,1.94,0
 60-70,0.6,0,1.21,0,0,0,0,0,5.52,0,0
 72-82,0.99,0,0,0,0,0,0,0,8.16,0,0.56
 84-94,0.84,0,0,0,0,0,0,0,3.41,0,0
 96-106,3.84,0,0,0,0,0,0,0,0,0,0
108-118,2.35,1.22,0,0,0,5.33,0,1.39,0,0,0
120,3.89,0,0,0,0,0,0,0,0,0,0
