stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.58,475.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0
  5-6,94.68,1416.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,13.91,0,0,0,24.84,0,0,0,0,0,0,0
  7-9,3.24,19.63,0,35.66,0,0,38.37,0,0,0,18.34,0,0,0,0,0,0,318.48,24.98,0,0,202.52,5.78,0,0,0,0,0,0,0
 10-12,0,5.25,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,234.88,3.88,0,0,57.85,0,0,5.27,0,0,0,0,0
 14-21,0,0,0,0,10.86,2.01,2.77,0,2.47,0.9,0,0,0,0,5.88,0,0,38.33,1.77,0,1.88,0.99,0,7.48,1.14,5.99,8.64,0,0,0
 24-34,0,0,0,0,1.45,0,4.16,0,0,0,0,0,0,0,3.77,0,2.2,34.86,0,0.77,0,0,1.99,0,0,0,8.09,1.57,0,0
 36-46,0,0,0,0,0,0,5.67,0,0.73,0,0,1.14,0,0,1.35,0,0.56,10.02,0,0,0,0,9.73,0,0,0,9.24,0.56,0,0
 48-58,0,0,0,0,0,0,8.16,0,2.3,0,0,0.46,0.83,0,4.26,0.53,1.22,28.48,0,0,0,0,2.31,0,0,0,4.82,0,0,0
 60-70,0,0,0,0,4.64,0,8.17,1.01,0.63,0,0,0,0,0,3.33,0,2.16,6.17,0,0,0,0,0.87,0,0,0,0.61,0,0,0.69
 72-82,0,0,0,0,0,0,1.95,0,0.72,0,0,0,1.24,0,4.42,0,1.07,14.72,0,0,0,0,0,0,0,0,0,0.79,0,0
 84-94,0,0,0,0,0,0,1.64,0,0.62,1.01,0,0,0,0,0.88,0,0,19.07,0,0,1.18,0,0.66,0,0,0,0,0,0,0
 96-106,0,0,1.1,0,5.9,0,6.96,0,0,0,0,2.04,0,0,4.43,0,0,13.59,0.67,0,0,0,0.88,0,0,0,0,0,1.16,0
108-118,0,0,0,0,2.8,0,1.64,0,1.39,0,0,0.99,0,0.97,6.56,0,0.49,10.79,0,0,0,0,0,0,0,0,0,1.46,0,0
120,0,0,0,0,1.6,0,2.49,0,0,0,0,0,0,0,8.43,0,4.52,16.3,0,0,0,0,1.36,0,0,0,0,0,0,0
