stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,1262.48,28845.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003.66,0,0,0,0,0,0
  5-6,676.81,8199.77,23.01,0,0,0,0,0,0,9.89,0,0,0,282.73,10.72,0,56.39,44.77,0,0,0,0,0,0
  7-9,4.36,17.45,11.01,0,0,26.89,0,0,0,5.85,0,0,0,361.42,36.96,0,128.81,0,163.94,0,0,0,0,0
 10-12,0,8.58,16.7,0,0,33.51,0,0,0,6.61,0,0,0,259.93,0,0,116.84,3.3,46.53,0,0,0,0,0
 14-21,0,0,0.83,7.98,0,12.27,0,3.94,0,0,10.18,0,4.49,73.57,0,0,0.99,0,2.98,11.95,8.02,11.46,0,0
 24-34,0,0,0,0.72,0,4.89,0,0,0,0,1.97,0,1.3,46.98,0,0.85,0,1.06,0,0,1.3,9.45,2.43,0
 36-46,0,0,0,0.74,0,5.97,0,0.65,0,0,0.73,0,0,12.6,0,0.57,0,0,0,0,0,2.54,0,0
 48-58,0,0,0,0,0,7.04,0,0,0,0.75,2.43,0.54,1.08,11,0,0,0,0,0,0,0,2.21,0,0
 60-70,0,0,0,0,0,12.27,0,0,0,0,0.79,0,0.85,10.42,0,0.78,0,0,0,0,0,0.76,0,0
 72-82,0,0,0,0,0,11.83,0,3.31,0,0,0.64,0,1.67,13.27,0,0,0,0,0.56,0,0,0,0.87,0
 84-94,0,0,0,0,2.85,3.77,0,0.63,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,10.29,0.91,0.58,3.71,0,0,1.22,0,1.99,1.43,0,0,0,0,0,0,0,0,0,0.74
108-118,0,0,0,0,0,0.7,1.16,0,0.63,0,0.82,0,2.28,2.45,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.81,0,1.51,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0
