stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,19.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.36,0,0,0,9.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.09,0,0,0,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,46.39,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,10.5,1.74,0,0,0,0,0,2.42,0,0,0,0,0,0,0,3.1,0,0,47.39,0,0,0.98,0.9,0,0,0,1.15,0,0.84,25.01,0,0,0,0,0
 24-34,0,0,0.61,0.77,10.89,1.53,6.29,0,0,0,0,0,0,0,0.6,0,0,0,0,7.15,0.63,2.58,411.11,0,30.82,4.13,0,0,3.39,0,0,0,0,133.74,0,0,0.6,0,0
 36-46,0,0,0,0,19.47,0,19.71,0,1.39,0,1.49,0,0,0,0,0,0,0,0,12.21,0,1.76,1086.97,0,22.38,1.55,0,0,1.57,0,0,0,0,273.79,0,0,0,0,1.16
 48-58,0,0,0,0,11.05,5.2,151.19,0.58,3.18,0,11.7,0,0,0,0,0,0,0,3.13,5.45,0,4.98,1677.05,2.42,9.73,6.95,0,0,0,0,0,0,0,312.94,0,0,0.91,0,0.8
 60-70,0,0,0,0,0,9.21,612.32,0,0,0,16.93,0,0,0,1.75,0,0.63,0,0,5.28,1.1,1.13,2199.17,0,8.24,3.27,0,0,2.45,0,0,0.63,0,420.9,0,0,0,0,0
 72-82,0,0,1.94,0,6.63,101.37,1016.66,0,0,2.02,25.48,1.36,0,0,0,0,0,3.3,0,34.95,8.86,2.17,2316.33,0,11.97,1.68,0,0,2.83,1.65,0,0,0,301.53,1.35,0.78,2.59,1.14,15.8
 84-94,0,0,5.34,0,7.55,82.97,982.23,0,0,3.86,17.2,2.56,0,0,0,0,0.78,0.83,7.32,38.01,1.13,2.81,1509.04,0,14.04,8.21,0,0,4.32,0,0,0,0,252.45,4.26,0,0,0.89,0.59
 96-106,0,0,0.88,0,26.41,141.01,1219.48,0,0,0,39.09,6.2,0,1,0,0.81,0,0,0,28.13,0,1.26,1328.25,0,26.97,12.87,0,0,0,0,0,0,0,81.74,4.23,2.52,4.69,0.96,0
108-118,0,0,0,0,23.34,75.93,1325.46,1.3,0.64,0.73,27.4,0.54,0,0,0,5.25,1.84,1.91,0,41.76,0.54,3.69,1804.49,0.54,8.41,10.99,0,3.08,0.84,0,0,0,0,60.08,2.23,1.46,1.64,0,0
120,2.82,0,0,0,25.48,55.58,519.1,2.03,0,0,45.73,25.14,0,0,9.25,0,1.12,0,0,40.29,0,0,1922.97,0,3.57,26.9,0,0,1.32,0,0,0,0,53.95,0,0,2.66,0,0
