stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,45.39,0,0,0,0,0,0,0
 24-34,0,5.66,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0.74,0,0,10.29,0,0,0,153.3,0,0.86,0,0,0,0,0
 36-46,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,10.01,0,0,0,216.81,0,0,0,0,0,0,0
 48-58,0,1.53,0,0,1.2,0,4.08,0,0,0,0,0.37,0,0,0.75,2.07,0.92,1.51,18.39,0,0,0,679.2,0,2.72,0,0,0,0,0
 60-70,0,20.61,0,0,14.46,0,16.6,0,0.57,0,0,3.32,0,0,4.69,0,0,0,28.4,0,0,0,910.29,0,3.67,0,0,0.72,0,7.41
 72-82,0,68.41,0.88,0,36.84,0,33.85,0,3.66,0.84,0,12.52,0,0,11.77,14.47,0,4.35,92.14,3.03,0,0,1556.89,0,7.07,2.03,0,9.04,0,0
 84-94,0,179.9,2.52,0,19.88,0,115.4,0,8.91,1.87,2.84,69.5,0,0,19.8,30.46,1.31,1.65,45.99,0,0,0,5360.18,0,1.7,1.5,0,2,3.29,0
 96-106,0.89,341.55,8.54,0.66,110.86,1.43,153.6,1.67,28.32,7.25,4.76,101.04,4.89,4.24,18.18,70.91,3.22,5.48,154.28,0,1.47,2.01,5803.49,0.9,4.63,0.85,0,1.2,6.54,4.6
108-118,0.8,329.69,3.53,3.78,53.56,0,206.51,0.84,16.48,6.67,3.15,145.43,0.45,6.04,12.65,114.6,0,0,117.36,0,0,0,5301.13,0,5.61,2.53,3.08,2.44,2.28,7.67
120,0,240.34,0,0,23.36,0,127.06,7.2,25.82,15.94,0,40.33,0,0,13.23,65.94,0,10.51,122.19,0,0,0,3551.06,0,0,0,0,0,0,0
