stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,mucous,mural_cell,muscle,neural,spinal_cord,xanthophores
 14-21,6.98,0,0,0,0,1.6,0,0,10.14,1.25,1.86,0
 24-34,45.39,0.88,0,2.01,0,40.11,0.65,0,78.96,4.5,2.91,0
 36-46,15.52,0,2.41,10.47,0,145.21,0,0,63.98,11.02,0.82,2.36
 48-58,9.81,2.12,0,6.54,0,83.75,0,0,31.3,1.36,2.17,0
 60-70,1.69,1.08,0,0.8,0,52.48,0,0,17.26,2.15,0,0
 72-82,0.55,0,0,0.77,2.8,46.1,0,0.92,14.85,4.32,0,0
 84-94,0,2.06,0,2.47,0,61.19,0,3.33,13.62,6.71,0.65,0
 96-106,0,0.75,0,0,0,20.37,0,0,4.7,0,0,0
108-118,0,0,0,0.98,0,47.15,0,0,2.88,2.19,0,0
120,0,0,0,0,0,33.26,0,0,0,0,0,0
