stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,721.33,11244.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.05,0,0,0,0,0,0,0,0,0
  5-6,929.64,12063.76,0,0,0,0,0,0,0,61.57,0,0,0,0,0,0,0,336.38,8.9,0,0,137.38,276.05,0,0,0,0,0,0,0,0,0
  7-9,186.09,183.18,263.3,0,0,519.94,0,0,0,200.55,0,0,0,0,0,0,0,4811.67,165.64,0,0,1775.89,6.59,45.63,0,0,0,0,0,0,0,0
 10-12,0,87.87,83.86,0,6.14,161.06,0,0,0,51.75,0,0,0,0,0,0,0,1555.2,80.7,0,0,710.8,0,10.84,7.13,81.53,0,5.61,0,0,0,0
 14-21,0,0,0.81,24.15,5.45,0,0,0.89,1.09,0,0,0,0,0,8.84,0,2.49,74.88,0.93,0,0,6.49,1.74,1.44,9.64,2.17,3.82,21.18,34.37,0,1,0
 24-34,0,0,0.59,0,0,1.53,0,3.02,0,0,0,0,0,1.22,10.95,0,0.73,90.6,0,0,0,0,8.37,0,0,0,0,0.61,20.71,0,0,0
 36-46,0,0,0,0,0,4.08,0,6.3,0,0,0,0,0,0,4.28,0,0.75,86.57,0,0,0,0,1.66,0,0,0,6.65,0,23.61,0,0,0
 48-58,0,0,0,0,0,7.77,0,18.21,0,0,0.56,0,0,0,3.17,0,0.58,66.89,0,0.44,0,0,0,0,0,0,0,0,18.59,0,0,0
 60-70,0,0,0,0,0,12.81,0,14.56,0,0,0,0,0,0,4.04,0,1.6,14.47,0,0,1.01,0,0,0,0,0,0,0,4.27,0,0,0
 72-82,0,0,0,0,0,9.4,1.86,27.73,0,0,0,7.01,1.68,0,8.3,1.97,0.49,16.05,0,0,0,0,0.98,0,0,0,0,0,3.93,0,0,0
 84-94,0,0,0,0,0,2.37,0,7.92,0,0,0,0,0,0,10.37,0,0,12.98,0,1,0,0,0.61,0,0,0,0,0,2.3,0,0,0
 96-106,0,0,0,0,0,1,0,27.82,0,0,0,0,0.75,1.06,5.49,0,0,7.51,0,0,0,0,5.8,0,0,0,0,0,0.66,0.82,0,0
108-118,0,0,0,0,0,1.71,0,18.88,0,0,0.93,0,0,0,3.65,0,3.19,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57
120,0,0,0,0,0,7.02,0,25.67,0,0,0,0,0,0,6.11,0,0,18.44,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0
