stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,12.98,123.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.73,181.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.34,12.11,9.1,0,0,42.18,0,0,0,0,3.83,0,0,0,0,0,0,0,0,246.99,0,0,0,65.55,0,6.2,0,0,0,0,0,0,0
 10-12,0,40.08,20.19,0,100.48,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,236.18,3.67,0,0,91.01,0,0,0,159.31,0,0,0,0,0
 14-21,0,0,0,2.81,431.41,1.64,0,0,0,0.99,0,15.53,2.32,0,0,0,5.2,0,0.98,16.33,0.97,0,0,0,0,0,9.65,0,7.98,3.97,0,0,53.47
 24-34,0,0.83,0,0,59.24,1.73,0,0,2.26,0,0,19.21,0.83,0,0,2.2,4.72,0,3.59,58.38,0,1.87,0,0,1.83,0,0,0,0.75,7.31,0,0,119.96
 36-46,0,0,0,1.07,34.15,15.07,0,0,0,0,0,7.65,0.89,0,0,0,0.64,0.77,0,47.78,0.85,3.89,0,0,0.89,0,0,0,0,13.83,0,0,69.5
 48-58,0,0,0,0,109.91,15,0,0.42,1.32,0,0,5.74,1.4,0,0,0,7.34,0,1,68.7,1.12,4.21,0,0,0.9,0,0,0,0,15.51,0,0,41.38
 60-70,0,0,0,0,109.6,25.95,0,0,2.07,0,0,10.49,1.84,0.71,1.31,0,16.5,0,1.08,45.24,0,1.86,1.2,0,0,0,0,0,0,2.54,0,0,13.4
 72-82,0,0,0,0,425.47,13.74,0,0,2.68,0.54,0,6.38,8.17,0,0,0,8.85,0,0,59.43,0,12.27,0,0,0,0,0,0,0,7.47,1.58,0.94,20.02
 84-94,0,0,0,0,460.94,17.86,0,0,0,0,0,6.79,9.99,0,0.81,0,4.05,0,1.09,9.95,0,5.99,0,0,0,0,0,0,0,1.38,0,0,45.06
 96-106,0,0,0,1.1,540.02,2.94,0,0,0,0,0,5.16,2.81,0,0,0,10.71,0,4.6,40.33,0,5.04,1.01,0,0.87,0,0,0,0,7.25,0,0,15.79
108-118,0,0,0,0,239.6,17.72,10.61,0,0,0.49,0,1.59,5.87,0,0,0,5.48,0,0,18.25,0.86,3.32,0,0,0,0,0,0,0,0,0,0,23.74
120,0,0,0,4.17,328.75,0,0,0,0,0,0,0,10.15,0,1.25,0,0,0,4.81,50.83,0,0,0,0,0,0,0,0,0,0,0,0,32.72
