stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0
 14-21,0,0,1.81,0,0,0,0,1.17,0,0.86,0,0,0,0,0,4.28,0,0,0,11.24,0,0,0,0,0,2.13,1.18,0,0
 24-34,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0.78,0,0,0.74,8.27,1.89,1.63,0,0,1.91,0,1.09,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,12.17,0.69,0,0,0,1.9,0,0.81,0,0
 48-58,0,0,0,0,0,7,0,1.97,0,0.37,0,0,0,0,0,1.65,0,0.48,0,9.78,8.46,0.93,0,0,5.49,0,0.73,0.85,1.2
 60-70,0,0,0,0,0,19.23,0,1.89,6.9,0,0,0,0,0,0,1.64,0,0,0,12.39,2.21,0,0,0,0,0,1.87,0.82,0
 72-82,0,0,0.64,0,0,8.59,0.55,4.06,2.64,0,0,0,0,0,0,1.19,0,0,0.92,4.33,0,0,0,0,0,0,7.84,1.04,0
 84-94,0,0,2.47,0.67,0,8.62,0,3.34,4.39,0,0,0.61,0,0,0,5.24,0,2.5,0.79,1.43,0,0,0,0,1.77,0,2.87,0,0
 96-106,0,0,0,0,0,16.28,1.41,11.15,2.03,0,0,0,0,0,11.36,9.03,0,0,0,4.45,0,3.13,1.39,0,0.57,0,0,1.99,1.29
108-118,0,0.89,0,0,0.5,2.9,0,0,5.83,0,3.81,0.47,0.49,0,0,0.81,0,1.05,1.22,9.6,0,0.46,0,0,3.25,0,0,3.17,6.1
120,0,0,1.24,0,0,16.34,0,1.85,24.17,0,1.01,0,3.65,1.12,0,5.72,1.56,0,0,20.7,0,0,1.86,0,1.07,0,0,0,0
