stage,eye,glial,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,somites,spinal_cord
  7-9,0,0,0,0,0,0,3.62,0,0,0
 10-12,5.17,0,0,0,0,0,14.25,0,0,0
 14-21,0,0,0,0,0,0,9.39,0,0.82,4.72
 24-34,0,1.73,0,0,0,0,3.6,0,0,9.37
 36-46,0,0,0,0,0,0,3.86,0.66,0,3.41
 48-58,0,1.38,0,0.65,0.53,0,15.86,0,0,3.57
 60-70,0.74,3.39,0,2.94,0,3.63,18.83,0,0,3.32
 72-82,0.9,0,0.64,1.22,0,0,27.68,0,0,2.8
 84-94,0,0,0,2.46,0,0,15.95,0,0,0
 96-106,0,0.96,0,0,0,0,28.43,0,0,0
108-118,1.87,0,0,4.82,0,0,14.43,0,0,0
120,0,0,0,0,0,0,56.93,0,0,0
